Orthogroup	Duplications (all)	Duplications (50% support)
OG0000399	6	6
OG0000400	6	6
OG0000401	6	6
OG0000402	6	6
OG0000403	6	6
OG0000404	6	6
OG0000405	6	6
OG0000406	6	6
OG0000407	6	6
OG0000408	6	6
OG0000409	6	6
OG0000410	6	6
OG0000411	6	6
OG0000412	6	6
OG0000413	6	6
OG0000414	6	6
OG0000415	6	6
OG0000416	6	6
OG0000417	6	6
OG0000418	6	6
OG0000419	6	6
OG0000420	6	6
OG0000421	6	6
OG0000422	6	6
OG0000423	6	6
OG0000424	6	6
OG0000425	4	4
OG0000426	3	3
OG0000427	4	4
OG0000428	2	2
OG0000429	3	3
OG0000430	3	3
OG0000431	2	2
OG0000432	2	2
OG0000433	2	2
OG0000434	4	4
OG0000435	3	3
OG0000436	3	3
OG0000437	2	2
OG0000438	2	2
OG0000439	2	2
OG0000440	2	2
OG0000441	3	3
OG0000442	2	2
OG0000443	2	2
OG0000444	3	3
OG0000445	2	2
OG0000446	4	4
OG0000447	3	3
OG0000448	3	3
OG0000449	2	2
OG0000450	2	2
OG0000451	4	4
OG0000452	4	4
OG0000453	3	3
OG0000454	3	3
OG0000455	2	2
OG0000456	1	1
OG0000457	3	3
OG0000458	2	2
OG0000459	3	3
OG0000460	2	2
OG0000461	3	3
OG0000462	3	3
OG0000463	2	2
OG0000464	3	3
OG0000465	3	3
OG0000466	2	2
OG0000467	3	3
OG0000468	2	2
OG0000469	2	1
OG0000470	3	3
OG0000471	3	3
OG0000472	2	2
OG0000473	3	3
OG0000474	3	3
OG0000475	2	2
OG0000476	2	2
OG0000477	3	3
OG0000478	4	4
OG0000479	4	4
OG0000480	4	4
OG0000481	2	2
OG0000482	3	3
OG0000483	3	3
OG0000484	4	4
OG0000485	3	3
OG0000486	3	3
OG0000487	3	3
OG0000488	2	2
OG0000489	2	2
OG0000490	2	2
OG0000491	4	4
OG0000492	2	2
OG0000493	3	3
OG0000494	3	3
OG0000495	2	1
OG0000496	3	3
OG0000497	3	3
OG0000498	2	2
OG0000499	1	1
OG0000500	2	2
OG0000501	2	2
OG0000502	3	3
OG0000503	3	3
OG0000504	3	3
OG0000505	3	3
OG0000506	3	3
OG0000507	3	3
OG0000508	2	2
OG0000509	3	3
OG0000510	3	3
OG0000511	3	3
OG0000512	2	2
OG0000513	3	3
OG0000514	3	3
OG0000515	3	3
OG0000516	3	3
OG0000517	3	3
OG0000518	2	2
OG0000519	3	3
OG0000520	3	3
OG0000521	3	3
OG0000522	3	3
OG0000523	3	3
OG0000524	3	3
OG0000525	4	4
OG0000526	4	4
OG0000527	3	3
OG0000528	3	3
OG0000529	3	3
OG0000530	2	2
OG0000531	2	2
OG0000532	2	2
OG0000533	4	4
OG0000534	2	2
OG0000535	4	4
OG0000536	3	3
OG0000537	2	2
OG0000538	2	2
OG0000539	2	2
OG0000540	3	3
OG0000541	3	3
OG0000542	3	3
OG0000543	3	3
OG0000544	3	3
OG0000545	3	3
OG0000546	3	3
OG0000547	3	3
OG0000548	2	2
OG0000549	3	3
OG0000550	3	3
OG0000551	3	3
OG0000552	3	3
OG0000553	4	4
OG0000554	4	4
OG0000555	4	4
OG0000556	4	4
OG0000557	4	4
OG0000558	4	4
OG0000559	4	4
OG0000560	3	3
OG0000561	4	4
OG0000562	4	4
OG0000563	4	4
OG0000564	4	4
OG0000565	4	4
OG0000566	4	4
OG0000567	4	4
OG0000568	4	4
OG0000569	4	4
OG0000570	4	4
OG0000571	4	4
OG0000572	4	4
OG0000573	4	4
OG0000574	4	4
OG0000575	4	4
OG0000576	4	4
OG0000577	4	4
OG0000578	4	4
OG0000579	4	4
OG0000580	4	4
OG0000581	4	4
OG0000582	5	5
OG0000583	5	5
OG0000584	5	5
OG0000585	5	5
OG0000586	5	5
OG0000587	5	5
OG0000588	5	5
OG0000589	5	5
OG0000590	5	5
OG0000591	5	5
OG0000592	5	5
OG0000593	5	5
OG0000594	5	5
OG0000595	5	5
OG0000596	5	5
OG0000597	5	5
OG0000598	5	5
OG0000599	5	5
OG0000600	5	5
OG0000601	5	5
OG0000602	5	5
OG0000603	5	5
OG0000604	5	5
OG0000605	5	5
OG0000606	5	5
OG0000607	5	5
OG0000608	5	5
OG0000609	5	5
OG0000610	5	5
OG0000611	5	5
OG0000612	5	5
OG0000613	5	5
OG0000614	5	5
OG0000615	5	5
OG0000616	5	5
OG0000617	5	5
OG0000618	5	5
OG0000619	5	5
OG0000620	5	5
OG0000621	5	5
OG0000622	5	5
OG0000623	5	5
OG0000624	5	5
OG0000625	5	5
OG0000626	5	5
OG0000627	5	5
OG0000628	5	5
OG0000629	5	5
OG0000630	5	5
OG0000631	5	5
OG0000632	5	5
OG0000633	5	5
OG0000634	5	5
OG0000635	5	5
OG0000636	5	5
OG0000637	5	5
OG0000638	2	2
OG0000639	1	1
OG0000640	2	2
OG0000641	2	2
OG0000642	1	1
OG0000643	2	2
OG0000644	3	3
OG0000645	2	2
OG0000646	2	2
OG0000647	2	2
OG0000648	2	2
OG0000649	3	3
OG0000650	2	2
OG0000651	1	1
OG0000652	1	1
OG0000653	1	1
OG0000654	2	2
OG0000655	2	2
OG0000656	2	2
OG0000657	2	2
OG0000658	3	3
OG0000659	1	1
OG0000660	2	2
OG0000661	1	1
OG0000662	3	3
OG0000663	2	2
OG0000664	2	2
OG0000665	3	3
OG0000666	2	2
OG0000667	2	2
OG0000668	1	1
OG0000669	2	2
OG0000670	2	2
OG0000671	2	2
OG0000672	1	1
OG0000673	2	2
OG0000674	2	2
OG0000675	2	2
OG0000676	2	2
OG0000677	2	2
OG0000678	2	2
OG0000679	1	1
OG0000680	2	2
OG0000681	2	2
OG0000682	1	1
OG0000683	3	3
OG0000684	1	1
OG0000685	2	2
OG0000686	1	1
OG0000687	2	2
OG0000688	2	2
OG0000689	1	1
OG0000690	2	2
OG0000691	3	3
OG0000692	3	3
OG0000693	2	2
OG0000694	2	2
OG0000695	1	1
OG0000696	1	1
OG0000697	1	1
OG0000698	2	2
OG0000699	2	2
OG0000700	2	2
OG0000701	2	2
OG0000702	2	2
OG0000703	2	2
OG0000704	2	2
OG0000705	1	1
OG0000706	1	1
OG0000707	1	1
OG0000708	3	3
OG0000709	1	1
OG0000710	1	1
OG0000711	3	3
OG0000712	2	2
OG0000713	1	1
OG0000714	2	2
OG0000715	2	2
OG0000716	2	2
OG0000717	2	2
OG0000718	2	2
OG0000719	1	1
OG0000720	2	2
OG0000721	2	2
OG0000722	3	3
OG0000723	2	2
OG0000724	1	1
OG0000725	2	2
OG0000726	1	1
OG0000727	1	1
OG0000728	2	2
OG0000729	2	2
OG0000730	2	2
OG0000731	3	3
OG0000732	1	1
OG0000733	2	2
OG0000734	1	1
OG0000735	2	2
OG0000736	3	3
OG0000737	2	2
OG0000738	1	1
OG0000739	3	3
OG0000740	3	3
OG0000741	1	1
OG0000742	2	2
OG0000743	2	2
OG0000744	1	1
OG0000745	2	2
OG0000746	2	2
OG0000747	3	3
OG0000748	3	3
OG0000749	2	2
OG0000750	2	2
OG0000751	2	2
OG0000752	2	2
OG0000753	2	2
OG0000754	1	1
OG0000755	2	2
OG0000756	1	1
OG0000757	1	1
OG0000758	2	2
OG0000759	2	2
OG0000760	3	3
OG0000761	1	1
OG0000762	2	2
OG0000763	2	2
OG0000764	3	3
OG0000765	2	2
OG0000766	1	1
OG0000767	2	2
OG0000768	2	2
OG0000769	2	2
OG0000770	2	2
OG0000771	2	2
OG0000772	2	2
OG0000773	2	2
OG0000774	2	2
OG0000775	2	2
OG0000776	2	2
OG0000777	3	3
OG0000778	2	2
OG0000779	2	2
OG0000780	3	3
OG0000781	2	2
OG0000782	2	2
OG0000783	2	2
OG0000784	2	2
OG0000785	2	2
OG0000786	2	2
OG0000787	2	2
OG0000788	2	2
OG0000789	2	2
OG0000790	2	2
OG0000791	2	2
OG0000792	2	2
OG0000793	3	3
OG0000794	1	1
OG0000795	2	2
OG0000796	2	2
OG0000797	2	2
OG0000798	2	2
OG0000799	1	1
OG0000800	3	3
OG0000801	1	1
OG0000802	2	2
OG0000803	2	2
OG0000804	2	2
OG0000805	1	1
OG0000806	2	2
OG0000807	2	2
OG0000808	1	1
OG0000809	2	2
OG0000810	2	2
OG0000811	2	2
OG0000812	1	1
OG0000813	1	1
OG0000814	2	2
OG0000815	2	2
OG0000816	3	3
OG0000817	2	2
OG0000818	3	3
OG0000819	2	2
OG0000820	2	2
OG0000821	2	2
OG0000822	2	2
OG0000823	2	2
OG0000824	2	2
OG0000825	2	2
OG0000826	2	2
OG0000827	2	2
OG0000828	2	2
OG0000829	3	3
OG0000830	2	2
OG0000831	2	2
OG0000832	3	3
OG0000833	2	2
OG0000834	2	2
OG0000835	2	2
OG0000836	3	3
OG0000837	3	3
OG0000838	2	2
OG0000839	2	2
OG0000840	3	3
OG0000841	2	2
OG0000842	2	2
OG0000843	1	1
OG0000844	2	2
OG0000845	2	2
OG0000846	2	2
OG0000847	2	2
OG0000848	2	2
OG0000849	2	2
OG0000850	2	2
OG0000851	2	2
OG0000852	2	2
OG0000853	2	2
OG0000854	2	2
OG0000855	2	2
OG0000856	3	3
OG0000857	2	2
OG0000858	2	2
OG0000859	2	2
OG0000860	2	2
OG0000861	1	1
OG0000862	2	2
OG0000863	2	2
OG0000864	2	2
OG0000865	1	1
OG0000866	1	1
OG0000867	2	2
OG0000868	2	2
OG0000869	3	3
OG0000870	2	2
OG0000871	1	1
OG0000872	2	2
OG0000873	2	2
OG0000874	1	1
OG0000875	3	3
OG0000876	2	2
OG0000877	2	2
OG0000878	2	2
OG0000879	2	2
OG0000880	3	3
OG0000881	1	1
OG0000882	2	2
OG0000883	2	2
OG0000884	2	2
OG0000885	2	2
OG0000886	1	1
OG0000887	2	2
OG0000888	3	3
OG0000889	2	2
OG0000890	2	2
OG0000891	2	2
OG0000892	2	2
OG0000893	1	1
OG0000894	3	3
OG0000895	3	3
OG0000896	2	2
OG0000897	2	2
OG0000898	3	3
OG0000899	2	2
OG0000900	2	2
OG0000901	2	2
OG0000902	1	1
OG0000903	1	1
OG0000904	3	3
OG0000905	2	2
OG0000906	2	2
OG0000907	2	2
OG0000908	2	2
OG0000909	2	2
OG0000910	2	2
OG0000911	2	2
OG0000912	2	2
OG0000913	1	1
OG0000914	2	2
OG0000915	2	2
OG0000916	2	2
OG0000917	2	2
OG0000918	2	2
OG0000919	3	3
OG0000920	2	2
OG0000921	3	3
OG0000922	3	3
OG0000923	3	3
OG0000924	3	3
OG0000925	3	3
OG0000926	3	3
OG0000927	3	3
OG0000928	3	3
OG0000929	3	3
OG0000930	3	3
OG0000931	4	4
OG0000932	3	3
OG0000933	3	3
OG0000934	3	3
OG0000935	4	4
OG0000936	4	4
OG0000937	3	3
OG0000938	3	3
OG0000939	3	3
OG0000940	3	3
OG0000941	3	3
OG0000942	3	3
OG0000943	3	3
OG0000944	3	3
OG0000945	3	3
OG0000946	3	3
OG0000947	2	2
OG0000948	3	3
OG0000949	3	3
OG0000950	3	3
OG0000951	3	3
OG0000952	3	3
OG0000953	3	3
OG0000954	3	3
OG0000955	3	3
OG0000956	2	2
OG0000957	4	4
OG0000958	3	3
OG0000959	3	3
OG0000960	3	3
OG0000961	3	3
OG0000962	3	3
OG0000963	3	3
OG0000964	3	3
OG0000965	3	3
OG0000966	3	3
OG0000967	3	3
OG0000968	3	3
OG0000969	3	3
OG0000970	2	2
OG0000971	3	3
OG0000972	3	3
OG0000973	2	2
OG0000974	3	3
OG0000975	3	3
OG0000976	3	3
OG0000977	3	3
OG0000978	3	3
OG0000979	3	3
OG0000980	3	3
OG0000981	4	4
OG0000982	4	4
OG0000983	4	4
OG0000984	4	4
OG0000985	4	4
OG0000986	4	4
OG0000987	4	4
OG0000988	4	4
OG0000989	4	4
OG0000990	4	4
OG0000991	4	4
OG0000992	4	4
OG0000993	4	4
OG0000994	4	4
OG0000995	4	4
OG0000996	4	4
OG0000997	4	4
OG0000998	4	4
OG0000999	4	4
OG0001000	4	4
OG0001001	4	4
OG0001002	4	4
OG0001003	4	4
OG0001004	4	4
OG0001005	4	4
OG0001006	4	4
OG0001007	4	4
OG0001008	4	4
OG0001009	4	4
OG0001010	4	4
OG0001011	4	4
OG0001012	4	4
OG0001013	4	4
OG0001014	4	4
OG0001015	4	4
OG0001016	4	4
OG0001017	4	4
OG0001018	4	4
OG0001019	4	4
OG0001020	4	4
OG0001021	4	4
OG0001022	4	4
OG0001023	4	4
OG0001024	4	4
OG0001025	4	4
OG0001026	4	4
OG0001027	4	4
OG0001028	4	4
OG0001029	4	4
OG0001030	4	4
OG0001031	4	4
OG0001032	4	4
OG0001033	4	4
OG0001034	4	4
OG0001035	4	4
OG0001036	4	4
OG0001037	4	4
OG0001038	4	4
OG0001039	4	4
OG0001040	4	4
OG0001041	4	4
OG0001042	4	4
OG0001043	4	4
OG0001044	4	4
OG0001045	4	4
OG0001046	4	4
OG0001047	4	4
OG0001048	4	4
OG0001049	4	4
OG0001050	4	4
OG0001051	4	4
OG0001052	4	4
OG0001053	4	4
OG0001054	4	4
OG0001055	4	4
OG0001056	4	4
OG0001057	4	4
OG0001058	4	4
OG0001059	1	1
OG0001060	2	2
OG0001061	1	1
OG0001062	2	2
OG0001063	1	1
OG0001064	1	1
OG0001065	1	1
OG0001066	1	1
OG0001067	1	1
OG0001068	1	1
OG0001069	1	1
OG0001070	1	1
OG0001071	1	1
OG0001072	1	1
OG0001073	2	2
OG0001074	1	1
OG0001075	1	1
OG0001076	2	2
OG0001077	1	1
OG0001078	2	2
OG0001079	1	1
OG0001080	1	1
OG0001081	1	1
OG0001082	1	1
OG0001083	1	1
OG0001084	1	1
OG0001085	1	1
OG0001086	1	1
OG0001087	2	2
OG0001088	1	1
OG0001089	1	1
OG0001090	1	1
OG0001091	1	1
OG0001092	1	1
OG0001093	1	1
OG0001094	1	1
OG0001095	2	2
OG0001096	1	1
OG0001097	1	1
OG0001098	1	1
OG0001099	1	1
OG0001100	1	1
OG0001101	1	1
OG0001102	1	1
OG0001103	1	1
OG0001104	2	2
OG0001105	2	2
OG0001106	1	1
OG0001107	1	1
OG0001108	2	2
OG0001109	1	1
OG0001110	1	1
OG0001111	1	1
OG0001112	2	2
OG0001113	1	1
OG0001114	1	1
OG0001115	1	1
OG0001116	1	1
OG0001117	1	1
OG0001118	1	1
OG0001119	1	1
OG0001120	1	1
OG0001121	1	1
OG0001122	1	1
OG0001123	1	1
OG0001124	1	1
OG0001125	1	1
OG0001126	1	1
OG0001127	1	1
OG0001128	2	2
OG0001129	1	1
OG0001130	1	1
OG0001131	1	1
OG0001132	1	1
OG0001133	2	2
OG0001134	2	2
OG0001135	1	1
OG0001136	1	1
OG0001137	1	1
OG0001138	1	1
OG0001139	1	1
OG0001140	1	1
OG0001141	1	1
OG0001142	1	1
OG0001143	1	1
OG0001144	1	1
OG0001145	1	1
OG0001146	1	1
OG0001147	1	1
OG0001148	1	1
OG0001149	2	2
OG0001150	1	1
OG0001151	1	1
OG0001152	1	1
OG0001153	1	1
OG0001154	1	1
OG0001155	2	2
OG0001156	1	1
OG0001157	2	2
OG0001158	1	1
OG0001159	2	2
OG0001160	1	1
OG0001161	2	2
OG0001162	1	1
OG0001163	1	1
OG0001164	1	1
OG0001165	1	1
OG0001166	1	1
OG0001167	1	1
OG0001168	1	1
OG0001169	1	1
OG0001170	2	2
OG0001171	1	1
OG0001172	1	1
OG0001173	2	2
OG0001174	1	1
OG0001175	1	1
OG0001176	1	1
OG0001177	1	1
OG0001178	1	1
OG0001179	1	1
OG0001180	1	1
OG0001181	1	1
OG0001182	1	1
OG0001183	1	1
OG0001184	1	1
OG0001185	1	1
OG0001186	1	1
OG0001187	1	1
OG0001188	1	1
OG0001189	1	1
OG0001190	1	1
OG0001191	1	1
OG0001192	1	1
OG0001193	1	1
OG0001194	1	1
OG0001195	2	2
OG0001196	1	1
OG0001197	1	1
OG0001198	1	1
OG0001199	1	1
OG0001200	1	1
OG0001201	1	1
OG0001202	1	1
OG0001203	1	1
OG0001204	1	1
OG0001205	1	1
OG0001206	2	2
OG0001207	1	1
OG0001208	1	1
OG0001209	1	1
OG0001210	1	1
OG0001211	1	1
OG0001212	1	1
OG0001213	1	1
OG0001214	1	1
OG0001215	2	2
OG0001216	1	1
OG0001217	2	2
OG0001218	1	1
OG0001219	1	1
OG0001220	2	2
OG0001221	1	1
OG0001222	1	1
OG0001223	1	1
OG0001224	1	1
OG0001225	1	1
OG0001226	1	1
OG0001227	1	1
OG0001228	2	2
OG0001229	1	1
OG0001230	1	1
OG0001231	1	1
OG0001232	1	1
OG0001233	1	1
OG0001234	1	1
OG0001235	1	1
OG0001236	1	1
OG0001237	1	1
OG0001238	1	1
OG0001239	2	2
OG0001240	1	1
OG0001241	1	1
OG0001242	1	1
OG0001243	1	1
OG0001244	1	1
OG0001245	1	1
OG0001246	1	1
OG0001247	1	1
OG0001248	1	1
OG0001249	1	1
OG0001250	1	1
OG0001251	1	1
OG0001252	1	1
OG0001253	2	2
OG0001254	1	1
OG0001255	1	1
OG0001256	1	1
OG0001257	1	1
OG0001258	1	1
OG0001259	1	1
OG0001260	1	1
OG0001261	1	1
OG0001262	1	1
OG0001263	1	1
OG0001264	2	2
OG0001265	1	1
OG0001266	1	1
OG0001267	1	1
OG0001268	1	1
OG0001269	2	2
OG0001270	1	1
OG0001271	1	1
OG0001272	1	1
OG0001273	1	1
OG0001274	2	2
OG0001275	1	1
OG0001276	2	2
OG0001277	1	1
OG0001278	1	1
OG0001279	1	1
OG0001280	1	1
OG0001281	2	2
OG0001282	1	1
OG0001283	1	1
OG0001284	1	1
OG0001285	1	1
OG0001286	1	1
OG0001287	2	2
OG0001288	1	1
OG0001289	1	1
OG0001290	1	1
OG0001291	1	1
OG0001292	2	2
OG0001293	1	1
OG0001294	1	1
OG0001295	1	1
OG0001296	1	1
OG0001297	1	1
OG0001298	1	1
OG0001299	2	2
OG0001300	1	1
OG0001301	2	2
OG0001302	1	1
OG0001303	1	1
OG0001304	1	1
OG0001305	1	1
OG0001306	1	1
OG0001307	1	1
OG0001308	1	1
OG0001309	1	1
OG0001310	1	1
OG0001311	1	1
OG0001312	1	1
OG0001313	1	1
OG0001314	1	1
OG0001315	1	1
OG0001316	1	1
OG0001317	1	1
OG0001318	1	1
OG0001319	1	1
OG0001320	2	2
OG0001321	1	1
OG0001322	1	1
OG0001323	1	1
OG0001324	1	1
OG0001325	1	1
OG0001326	2	2
OG0001327	1	1
OG0001328	1	1
OG0001329	1	1
OG0001330	2	2
OG0001331	1	1
OG0001332	1	1
OG0001333	1	1
OG0001334	1	1
OG0001335	2	2
OG0001336	1	1
OG0001337	1	1
OG0001338	1	1
OG0001339	1	1
OG0001340	2	2
OG0001341	1	1
OG0001342	1	1
OG0001343	2	2
OG0001344	1	1
OG0001345	1	1
OG0001346	1	1
OG0001347	1	1
OG0001348	1	1
OG0001349	2	2
OG0001350	1	1
OG0001351	1	1
OG0001352	2	2
OG0001353	1	1
OG0001354	1	1
OG0001355	1	1
OG0001356	1	1
OG0001357	1	1
OG0001358	1	1
OG0001359	1	1
OG0001360	1	1
OG0001361	1	1
OG0001362	1	1
OG0001363	1	1
OG0001364	1	1
OG0001365	1	1
OG0001366	2	2
OG0001367	1	1
OG0001368	1	1
OG0001369	1	1
OG0001370	1	1
OG0001371	1	1
OG0001372	1	1
OG0001373	1	1
OG0001374	1	1
OG0001375	1	1
OG0001376	1	1
OG0001377	1	1
OG0001378	1	1
OG0001379	1	1
OG0001380	2	2
OG0001381	2	2
OG0001382	1	1
OG0001383	1	1
OG0001384	1	1
OG0001385	1	1
OG0001386	1	1
OG0001387	1	1
OG0001388	1	1
OG0001389	1	1
OG0001390	2	2
OG0001391	1	1
OG0001392	1	1
OG0001393	1	1
OG0001394	2	2
