PS,GeneID,gamete,S1,S2,S3,S4,S5,matSP
1,ser_TRINITY_DN2427_c0_g1,141.0794805,166.629495,150.3471045,149.727502,151.256133,154.138155,152.174214
8,ser_TRINITY_DN24343_c0_g2,198.4304805,263.639341,230.7010335,389.603324,227.101616,199.603839,208.5280435
8,ser_TRINITY_DN2436_c0_g2,3631.7785625,558.052492,269.01392400000003,143.691977,139,139,139.142744
1,ser_TRINITY_DN24360_c0_g1,370.666735,384.323519,441.4894265,648.7903590000001,751.795988,578.240461,373.190272
8,ser_TRINITY_DN2439_c0_g1,186.3592975,163.582691,161.316786,152.744903,167.151892,167.181435,161.300861
8,ser_TRINITY_DN2443_c0_g2,167.1293555,195.36061,254.6549465,238.006628,218.894982,215.957689,157.3816995
8,ser_TRINITY_DN24438_c0_g2,159.8470015,141.974225,139.858269,139,139,139,139
1,ser_TRINITY_DN24454_c0_g1,176.30114650000002,173.24054999999998,196.748464,248.310348,249.014274,228.167432,237.761513
1,ser_TRINITY_DN2450_c0_g1,141.823827,148.448471,156.715744,162.6889,157.786931,163.868642,172.7698815
8,ser_TRINITY_DN2450_c0_g2,186.559253,147.158592,155.814516,157.967201,156.23044,167.493136,178.8242735
1,ser_TRINITY_DN24515_c0_g3,236.672862,303.19025,369.393959,415.336202,345.325026,334.91918999999996,215.1460985
8,ser_TRINITY_DN24532_c0_g1,252.7199705,363.346513,395.6938115,422.529288,497.577765,572.327374,654.9835390000001
7,ser_TRINITY_DN24548_c0_g1,162.0424445,160.048486,174.8058925,166.159198,173.317697,168.261031,173.2101215
1,ser_TRINITY_DN24599_c0_g1,146.614616,171.033258,175.67940800000002,155.992868,167.735812,174.827225,173.9064055
8,ser_TRINITY_DN24614_c0_g1,200.83382749999998,139.088198,139,139.068344,139.078984,139.13689,139
1,ser_TRINITY_DN24614_c0_g2,339.6017285,296.794349,214.43929250000002,184.787048,187.333071,206.357461,187.939596
8,ser_TRINITY_DN24615_c0_g1,370.9963835,530.309593,608.0145645,1033.13336,1645.623265,1209.775605,2002.5474574999998
1,ser_TRINITY_DN2462_c0_g1,178.470216,181.481079,201.23902149999998,184.506847,171.788489,171.158052,219.5955985
1,ser_TRINITY_DN24628_c0_g1,140.144573,171.93474,191.098383,161.181643,164.098293,192.316627,183.6014805
8,ser_TRINITY_DN24634_c0_g1,170.45310899999998,209.403578,237.9051885,192.28863,184.324059,195.522945,179.15363050000002
1,ser_TRINITY_DN2464_c0_g2,142.938895,232.630827,278.28058050000004,173.674344,148.378923,153.283904,142.9555815
8,ser_TRINITY_DN247_c0_g2,158.9627835,149.193142,179.88145,221.4435,191.988417,186.587321,165.9420405
1,ser_TRINITY_DN2472_c0_g1,1684.7339965,151.584398,164.634613,158.775089,156.816447,159.44287500000002,152.615011
1,ser_TRINITY_DN24748_c0_g2,176.550376,223.946394,284.92555749999997,213.621288,191.547383,214.781147,170.9347805
1,ser_TRINITY_DN2477_c0_g2,178.6308335,230.787804,269.122792,252.575362,235.071283,235.564173,180.3905675
7,ser_TRINITY_DN2478_c2_g3,192.63922,212.354789,202.8112215,207.179462,236.97625,250.370239,243.86522200000002
7,ser_TRINITY_DN24812_c0_g3,139,139.148991,139.9403775,171.242283,141.334263,140.561149,161.169198
