PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
1,ser_TRINITY_DN10567_c0_g2,6900,5903,5644,5275,6225,6221,5472
8,ser_TRINITY_DN10571_c0_g1,3379,2021,2008,3837,3851,3267,3429
7,ser_TRINITY_DN10577_c0_g2,1926,5754,2344,1150,1015,1640,3113
8,ser_TRINITY_DN10578_c0_g2,1035,4087,4522,4127,2615,2710,4319
6,ser_TRINITY_DN10579_c0_g1,5346,2419,4185,6088,6058,5294,6859
2,ser_TRINITY_DN10581_c0_g1,3493,3973,4848,3634,2599,1842,3993
1,ser_TRINITY_DN10581_c0_g2,7520,7534,7544,7568,7699,7734,6950
7,ser_TRINITY_DN10586_c0_g1,2541,3748,2615,2538,1500,1981,2867
1,ser_TRINITY_DN10586_c0_g2,3946,3837,3209,4425,5090,5224,5727
5,ser_TRINITY_DN10587_c0_g1,7469,5354,3399,5636,6625,5898,7080
8,ser_TRINITY_DN1059_c0_g1,5410,4739,4757,5703,5968,5442,1028
2,ser_TRINITY_DN1059_c0_g2,1276,2097,2587,2246,2330,2724,3200
8,ser_TRINITY_DN1059_c0_g3,3078,3782,2488,1760,2519,3772,3859
7,ser_TRINITY_DN10596_c0_g1,102.5,1341,1227,1371,1280.5,1340,2749
8,ser_TRINITY_DN10599_c0_g1,3011,1323,1609,2057,2689,2727,2592
8,ser_TRINITY_DN106_c0_g2,279,1759,2898,5878,6446,6837,4677
8,ser_TRINITY_DN1060_c0_g1,1285,3409,3709,3469,4221,3769,2284
1,ser_TRINITY_DN10600_c0_g1,2114,5482,4461,5118,4371,5395,4243
8,ser_TRINITY_DN10603_c0_g1,5167,3355,3046,4826,5578,4854,5042
8,ser_TRINITY_DN10605_c1_g3,2847,2125,1436,1542,2254,2896,3003
1,ser_TRINITY_DN10607_c0_g1,4528,132.5,165.5,220.5,202,209.5,197.5
5,ser_TRINITY_DN10614_c0_g1,1463,2112,2077,2647,2816,2295,3425
7,ser_TRINITY_DN10621_c0_g1,6270,132.5,165.5,220.5,202,209.5,197.5
8,ser_TRINITY_DN10623_c0_g1,5049,6438,6242,6066,5996,6534,6622
8,ser_TRINITY_DN10625_c0_g1,1122,1294,1247,1519,4103,3417,3925
1,ser_TRINITY_DN1063_c0_g2,621,6138,6291,5230,7615,7491,1106
8,ser_TRINITY_DN10635_c0_g2,1890,2799,3314,3512,3358,3802,2961
7,ser_TRINITY_DN10644_c0_g2,6020,4858,7378,7822,7142,6651,5811
8,ser_TRINITY_DN106474_c0_g3,1049,1271,1549,2407,2516,2316,5523
1,ser_TRINITY_DN106479_c0_g1,1033,1667,2059,3128,2897,2432,5787
1,ser_TRINITY_DN10651_c0_g2,5561,6773,6165,6194,6440,6426,5729
8,ser_TRINITY_DN10654_c0_g1,6365,7119,7243,7695,7641,7799,7839
1,ser_TRINITY_DN10655_c0_g1,5344,4577,5503,6056,5875,5577,5417
1,ser_TRINITY_DN10656_c0_g1,8019,6695,7001,6849,7081,6848,7162
1,ser_TRINITY_DN10667_c0_g1,3110,132.5,165.5,220.5,202,209.5,197.5
8,ser_TRINITY_DN1067_c0_g1,2784,1378,2199,2644,2400,2228,2951
8,ser_TRINITY_DN10670_c0_g2,4067,2620,2504,1617,1084,1353,1394
8,ser_TRINITY_DN10673_c0_g2,7616,5833,3994,4232,5937,5988,7219
8,ser_TRINITY_DN10678_c0_g3,1812,1843,1768,2961,3753,4152,3030
8,ser_TRINITY_DN10679_c0_g1,390,1003,635,220.5,202,209.5,1928
1,ser_TRINITY_DN1068_c0_g1,5725,1832,1405,2266,2137,1700,1917
1,ser_TRINITY_DN10680_c0_g2,5797,6964,6283,6191,5909,6693,6054
8,ser_TRINITY_DN10681_c0_g1,639,1311,2182,1236,806,706,615
8,ser_TRINITY_DN10687_c0_g1,1253,3183,2956,1905,822,966,682
8,ser_TRINITY_DN106923_c1_g2,585,2607.5,1226,765,872,1099,1403
7,ser_TRINITY_DN106953_c0_g1,4838,5165,5562,4647,5044,4931,5596
2,ser_TRINITY_DN10698_c0_g1,102.5,132.5,165.5,220.5,202,209.5,599.5
8,ser_TRINITY_DN10699_c0_g1,3552,4825,4689,4518,4771,4849,5774
1,ser_TRINITY_DN107_c0_g1,7849,8087,8021,7979,8144,8147,8220
1,ser_TRINITY_DN10701_c0_g4,6223,658,368,220.5,426,209.5,197.5
2,ser_TRINITY_DN10703_c0_g2,1328,3661,3221,1780,1320,1431,1467
8,ser_TRINITY_DN10709_c0_g1,3710,604,677,807,1023,992,3571
7,ser_TRINITY_DN10712_c0_g1,8089,8097,7245,6862,4734,4467,691
1,ser_TRINITY_DN10715_c1_g3,5171,5547,5680,5194,5345,5155,5531
1,ser_TRINITY_DN10716_c2_g1,5221,3507,1919,1534,1595,1857,3857
1,ser_TRINITY_DN10716_c2_g2,7207,7588,7619,7569,7876,7905,7637
1,ser_TRINITY_DN107177_c0_g1,4859,5714,5706,3633,2581,2420,2240
7,ser_TRINITY_DN10718_c0_g1,1506,2225,2661,2997,4163,3799,1777
1,ser_TRINITY_DN10725_c0_g1,6103,6669,6246,6576,7383,7460,7616
1,ser_TRINITY_DN10729_c0_g1,1211,621,581,711,767,853,5306
8,ser_TRINITY_DN1073_c0_g1,1361,2975,3015,2392,2279,2714,2103
8,ser_TRINITY_DN10730_c0_g2,799,1127,1804,1386,1079,1210,1048
8,ser_TRINITY_DN10734_c0_g1,6282,7426,5881,4788,5266,5957,7245
8,ser_TRINITY_DN10739_c0_g1,6084,7041,7346,7252,7497,7363,6221
2,ser_TRINITY_DN10740_c0_g1,910,682,879,1068,798,803,1551
8,ser_TRINITY_DN10746_c1_g1,4293,5849,4050,5154,6411,6761,6148
2,ser_TRINITY_DN107483_c0_g2,6726,4569,4869,3856,4477,3930,4250
2,ser_TRINITY_DN107551_c0_g1,7167,7776,7922,7600,7757,7758,6177
8,ser_TRINITY_DN107553_c0_g1,2397,309,165.5,462,531,209.5,197.5
7,ser_TRINITY_DN10766_c0_g1,6946,420,501,220.5,409,209.5,443
8,ser_TRINITY_DN10769_c0_g2,7360,7699,7799,7990,8033,7912,7972
8,ser_TRINITY_DN1077_c0_g1,6510,8092,7015,5098,6755,7265,3356
1,ser_TRINITY_DN1077_c0_g5,6978,8127,7404,6302,7445,7598,4386
1,ser_TRINITY_DN10772_c1_g3,3960,3472,3421,2241,2779,1945,2665
8,ser_TRINITY_DN10774_c0_g1,4201,6284,5753,5016,5059,4923,4839
8,ser_TRINITY_DN10775_c0_g2,4045,5432,5602,5023,3881,3601,4635
8,ser_TRINITY_DN10778_c0_g1,3449,3330,2250,5001,5309,4514,6476
1,ser_TRINITY_DN10779_c0_g1,5697,4813,4644,4336,4457,4063,5299
1,ser_TRINITY_DN10779_c0_g2,731,714,983,1125,2182,3514,3961
1,ser_TRINITY_DN10781_c0_g4,7777,7226,6419,7043,8169,8082,8170
1,ser_TRINITY_DN10786_c0_g1,4176,5760,7483,8086,7826,7631,7985
7,ser_TRINITY_DN10795_c1_g1,277,132.5,165.5,220.5,202,209.5,488
1,ser_TRINITY_DN10795_c1_g2,7015,306,537,545,439,508,432
1,ser_TRINITY_DN10795_c1_g3,2640,3957,4129,3152,3173,3923,4373
8,ser_TRINITY_DN10795_c1_g4,4443,5255,4570,4624,5359,5280,4989
1,ser_TRINITY_DN10797_c0_g1,8159,8248,8259,8237,8264,8265,8275
8,ser_TRINITY_DN10799_c0_g1,5506,6145,6264,7048,7537,7439,6356
7,ser_TRINITY_DN108_c0_g1,6939,6095,7050,7622,7838,7868,7831
8,ser_TRINITY_DN10801_c0_g1,6809,7484,6412,6709,7335,7409,5919
8,ser_TRINITY_DN108029_c0_g3,7172,6234,4781,5529,6386,6468,7264
5,ser_TRINITY_DN10806_c0_g1,4692,1661,1235,4131,2350,3414,3049
8,ser_TRINITY_DN10806_c0_g2,5637,1770,1496,6276,5726,4555,5929
8,ser_TRINITY_DN108082_c0_g2,1440,4224,1948,3036,3005,4524,2045
8,ser_TRINITY_DN10810_c0_g2,5176,7581,7771,7542,7299,7407,7703
8,ser_TRINITY_DN10813_c0_g1,1884,599,389,220.5,202,209.5,197.5
8,ser_TRINITY_DN10819_c0_g1,1541,3877,3218,3712,3093,2663,3176
1,ser_TRINITY_DN10819_c0_g3,7397,7985,8159,8136,8147,8096,7908
8,ser_TRINITY_DN10820_c1_g5,5681,5360,5527,5422,5585,5602,5561
8,ser_TRINITY_DN10823_c0_g1,2094,3371,5507,3464,2781,2272,1725
8,ser_TRINITY_DN10826_c0_g1,2268,5166,3926,2583,3779,4528,3540
8,ser_TRINITY_DN1083_c0_g3,7083,5250,4875,5108,5519,6230,6396
8,ser_TRINITY_DN1083_c0_g4,2652,7096,3567,1487,1399,1685,929
8,ser_TRINITY_DN10836_c0_g1,7837,7805,7872,8072,7974,7931,6695
8,ser_TRINITY_DN1084_c0_g1,3801,132.5,684,770,1095,653,1134
8,ser_TRINITY_DN10840_c0_g1,2884,3586,2811,2990,3956,3120,2871
1,ser_TRINITY_DN108427_c0_g1,5746,6177,6399,6158,6242,5716,6183
1,ser_TRINITY_DN10853_c0_g1,4642,508,464,475,413,440,446
5,ser_TRINITY_DN108567_c0_g1,3567,3967,4450,4201,4747,4434,5474
8,ser_TRINITY_DN10857_c0_g1,4622,5206,4864,3838,2522,4141,5028
5,ser_TRINITY_DN10861_c0_g1,4594,4955,4643,4868,4931,5221,3364
8,ser_TRINITY_DN10864_c0_g3,513,1356,1089,1520,2823,3372,2080
7,ser_TRINITY_DN10868_c0_g2,102.5,744,1546,4479,4628.5,3999,639
7,ser_TRINITY_DN10873_c0_g1,5013,1788,2121,1377,1660,1564,1304
8,ser_TRINITY_DN10874_c0_g2,495,510,651,603,781,1525,2323
1,ser_TRINITY_DN108756_c0_g2,6106,2675,2808,4490,5603,4717,4371
8,ser_TRINITY_DN10884_c0_g1,8178,6882,6644,6987,7626,7579,8001
7,ser_TRINITY_DN108841_c0_g1,7000,5604,6549,7320,7134,7085,7179
1,ser_TRINITY_DN10904_c0_g1,4213,4697,2876,2756,3393,3140.5,2520
7,ser_TRINITY_DN10904_c0_g2,1727,3477,3037,4154,2947,3872,4970
7,ser_TRINITY_DN10907_c0_g2,2219,1736,2309,2690,2477,3105,4932
1,ser_TRINITY_DN10909_c0_g1,1718,1461,2190,6303,7193,6858,7227
8,ser_TRINITY_DN1091_c0_g1,2885,2619,2752,3515,3213,3606,3808
2,ser_TRINITY_DN109147_c0_g1,2660,4219,4855,3593,5430,4655,4509
1,ser_TRINITY_DN10925_c0_g1,3063,3091,3713,4470,4143,4094,3635
2,ser_TRINITY_DN10931_c0_g2,1278,2272,2310,2117,2443,2592,1625
8,ser_TRINITY_DN10931_c0_g3,3822,2628,2714,1918,1939,2167,1812
7,ser_TRINITY_DN10933_c0_g1,3160,1606,2113,3044,4816,4589,5016
7,ser_TRINITY_DN10933_c0_g2,3501,5151,2553,3359,3096,3127,4808
1,ser_TRINITY_DN10935_c0_g1,5670,5362,6049,6000,6444,6177,3563
8,ser_TRINITY_DN10937_c0_g2,7987,7535,6149,1596,991,839,792
8,ser_TRINITY_DN109392_c0_g1,1954,1448,1826,2429,2213,3101,2028
2,ser_TRINITY_DN1094_c0_g2,3237,5384,5655,5202,5225,5058,5567
8,ser_TRINITY_DN10948_c0_g3,5170,6627,7114,7566,7492,7540,7683
