PS,GeneID,gamete
8,dis_TRINITY_DN10508_c0_g1,7.228223
7,dis_TRINITY_DN10509_c0_g4,0
1,dis_TRINITY_DN1051_c0_g1,12.939229
1,dis_TRINITY_DN10517_c0_g1,0.117997
2,dis_TRINITY_DN10518_c0_g1,0.860284
8,dis_TRINITY_DN10518_c0_g6,0.316496
1,dis_TRINITY_DN10523_c0_g6,5.388703
2,dis_TRINITY_DN10527_c0_g1,140.783733
2,dis_TRINITY_DN10531_c0_g1,5.580382
1,dis_TRINITY_DN10537_c0_g1,7.584782
8,dis_TRINITY_DN10538_c0_g1,0.499483
1,dis_TRINITY_DN1054_c0_g1,0.959905
1,dis_TRINITY_DN10548_c0_g1,136.581778
8,dis_TRINITY_DN10555_c0_g1,44.890788
4,dis_TRINITY_DN10558_c0_g2,1644.200559
8,dis_TRINITY_DN1056_c0_g1,29.381414
8,dis_TRINITY_DN1057_c0_g1,6.155595
8,dis_TRINITY_DN10573_c2_g3,17.78718
8,dis_TRINITY_DN10573_c2_g5,9.108733
1,dis_TRINITY_DN10574_c0_g2,4.985664
8,dis_TRINITY_DN1058_c0_g1,1.968594
1,dis_TRINITY_DN10594_c0_g1,11.314637
8,dis_TRINITY_DN106_c0_g2,14.226965
4,dis_TRINITY_DN106_c0_g3,0.38565
7,dis_TRINITY_DN10601_c0_g4,22.592965
4,dis_TRINITY_DN10604_c0_g1,1.726531
7,dis_TRINITY_DN10605_c0_g1,56.629111
1,dis_TRINITY_DN10610_c0_g1,11.122362
2,dis_TRINITY_DN10610_c0_g2,2.624595
1,dis_TRINITY_DN1062_c0_g2,14.026461
6,dis_TRINITY_DN1063_c0_g1,1.345618
1,dis_TRINITY_DN10632_c0_g1,99.628618
8,dis_TRINITY_DN10643_c0_g1,3.434415
6,dis_TRINITY_DN10647_c0_g1,1.214705
2,dis_TRINITY_DN10658_c0_g2,6.857627
1,dis_TRINITY_DN1066_c0_g4,423.592431
8,dis_TRINITY_DN10687_c1_g3,1.355797
2,dis_TRINITY_DN10697_c0_g1,8.623281
8,dis_TRINITY_DN1070_c0_g8,0.882412
7,dis_TRINITY_DN10700_c0_g1,0
2,dis_TRINITY_DN1071_c0_g1,3.743193
8,dis_TRINITY_DN10713_c0_g1,2.403394
7,dis_TRINITY_DN1073_c0_g3,38.000838
1,dis_TRINITY_DN1073_c0_g4,4.196542
7,dis_TRINITY_DN1074_c0_g1,42.142612
8,dis_TRINITY_DN10746_c0_g2,0.160999
8,dis_TRINITY_DN1075_c0_g1,301.678205
8,dis_TRINITY_DN10759_c0_g1,1.571344
2,dis_TRINITY_DN1076_c0_g1,3.941726
7,dis_TRINITY_DN1077_c0_g1,1.404175
7,dis_TRINITY_DN1078_c0_g1,36.634387
2,dis_TRINITY_DN10784_c0_g2,5.694553
1,dis_TRINITY_DN10788_c0_g2,0.236732
1,dis_TRINITY_DN10789_c0_g3,10.159452
1,dis_TRINITY_DN1079_c0_g1,1.836315
5,dis_TRINITY_DN10797_c0_g1,1.339531
1,dis_TRINITY_DN1080_c1_g1,6.546749
1,dis_TRINITY_DN10808_c0_g1,39.643335
1,dis_TRINITY_DN10809_c0_g1,2.462238
7,dis_TRINITY_DN1081_c0_g1,23.535097
