OG,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
OG0003817,1.553675,2.017947,1.80405,1.792961,2.772049,2.434741,17.426229,24.310851,27.310672,44.823368,62.562266,64.821946,14.890584,17.368376,11.720661,10.635865,10.751958,6.944773,9.133944,7.484733,7.125183,6.160858,2.535752,3.891179,1.946925,18.155677,22.715176,23.63985,3.336443,1.84519,2.039904,6.049819,9.327171,5.472363
OG0003819,74.657605,73.331477,77.389365,30.941535,16.195508,13.72821,168.400445,145.219263,190.087495,333.09426,309.480203,378.429582,296.1633,238.911887,194.884682,176.959238,177.61828,124.025684,118.140758,125.621304,141.147033,138.588219,68.892392,81.067427,45.661431,82.712047,87.602599,88.366414,44.514786,48.35758,55.893625,82.381486,101.630327,74.059114
OG0003820,34.878638,41.49819,36.846261,16.657533,8.367083,10.64273,112.668195,114.324085,94.558081,137.769683,100.873193,83.779434,14.137088,14.958274,13.597124,15.45363,16.175674,15.619365,15.770874,13.025414,15.250135,14.056189,9.545436,8.262525,6.480848,15.766584,14.365584,8.006287,3.717336,2.059198,5.197597,7.014042,5.465527,4.546894
OG0003821,89.228273,100.123125,100.037313,103.925799,123.01213,115.09455,81.596571,74.473942,72.462451,24.37525,24.224964,11.575693,88.78592,74.611182,110.262587,124.970318,109.527335,194.266838,176.822654,140.311235,99.954222,110.157692,176.638813,272.640825,401.201137,488.325208,482.300836,426.548059,286.044321,394.493077,438.13041,203.145243,243.790487,218.702373
OG0003823,14.85535,20.182168,18.073956,78.690438,83.612598,84.664546,32.297234,31.504532,44.745838,43.472478,43.358491,49.169193,43.171117,37.091451,43.580971,45.473706,43.67645,44.214785,42.613159,39.811082,43.320583,41.837017,51.882797,42.952132,42.522341,32.206955,35.208602,35.358943,36.094897,31.480672,25.53649,24.081206,27.675773,26.080216
OG0003824,0.012562,0.040108,0.086113,46.699037,46.754152,44.4827,0,0.095404,0.051274,0,0.03044,0.059979,0,0.024268,0,0.02097,0.012322,0.023365,0.056012,0,0,0.026077,0.050595,0,0,2.834144,2.450438,3.107183,0.036214,0.017054,0.033909,0.028739,0,0.205438
OG0003825,94.0665,106.372052,97.236689,37.3484,23.801922,23.543513,8.889699,9.768218,9.539627,7.531708,9.842325,10.716575,58.081695,66.007658,45.026891,42.150237,47.050424,57.704683,60.266589,29.077665,32.206169,29.267097,83.566908,66.633693,41.054735,63.172932,74.253759,99.025645,89.744112,50.403578,43.578257,55.517161,94.3036,53.075855
OG0003826,5.119302,4.970897,4.760615,28.294293,38.697598,35.30996,10.363844,15.624993,13.176119,13.58745,21.278415,14.794277,26.79604,28.169212,34.122896,29.885529,29.525991,29.289053,26.431895,13.147452,26.494148,23.422038,18.910826,24.887987,9.230798,21.116573,17.304352,33.24893,18.051844,24.770095,15.294921,29.318042,25.761379,28.521758
OG0003827,153.387991,143.321547,143.751792,802.652658,870.161305,927.152969,107.836901,101.370494,123.642173,107.021429,108.584261,90.908202,83.414812,94.795137,165.741756,180.95401,168.777244,212.64192,228.691325,135.377431,155.842938,183.791453,111.475748,175.049569,203.092066,288.937313,286.764764,246.183983,144.862487,154.450821,179.729907,321.806079,158.506822,244.913613
OG0003828,24.175029,33.983418,37.33133,4.95866,3.16437,2.701257,14.678086,13.460169,20.469548,9.281083,11.714289,14.752662,10.044487,9.092546,9.35194,9.265258,5.477663,6.375581,6.193791,4.858984,9.058584,8.724699,10.121687,9.529816,10.874838,10.527617,11.485149,7.734629,10.01237,9.249999,8.672088,3.648421,4.811853,5.825103
OG0003829,130.157434,127.20671,129.06394,40.524969,33.70891,23.934501,79.391028,88.768051,92.305223,80.878683,84.583977,86.424111,120.026463,112.0735,104.524023,94.913634,99.044193,86.736038,83.633143,78.084043,83.988196,87.241581,107.305143,88.403867,76.152381,117.538656,94.09231,102.781632,70.341323,66.80792,64.1803,56.274093,84.962671,57.980772
