PS,GeneID,gamete
6,dis_TRINITY_DN10647_c0_g1,4.924225
2,dis_TRINITY_DN10658_c0_g2,29.490581
1,dis_TRINITY_DN1066_c0_g4,147.322916
8,dis_TRINITY_DN10687_c1_g3,8.593891
2,dis_TRINITY_DN10697_c0_g1,22.942073
8,dis_TRINITY_DN1070_c0_g8,9.349715
7,dis_TRINITY_DN10700_c0_g1,0.933089
2,dis_TRINITY_DN1071_c0_g1,12.490548
8,dis_TRINITY_DN10713_c0_g1,20.980571
7,dis_TRINITY_DN1073_c0_g3,14.126079
1,dis_TRINITY_DN1073_c0_g4,30.497052
7,dis_TRINITY_DN1074_c0_g1,92.737621
8,dis_TRINITY_DN10746_c0_g2,1.078686
8,dis_TRINITY_DN1075_c0_g1,156.911039
8,dis_TRINITY_DN10759_c0_g1,10.153352
2,dis_TRINITY_DN1076_c0_g1,12.982323
7,dis_TRINITY_DN1077_c0_g1,3.693584
7,dis_TRINITY_DN1078_c0_g1,120.263843
2,dis_TRINITY_DN10784_c0_g2,1.789467
1,dis_TRINITY_DN10788_c0_g2,2.182216
1,dis_TRINITY_DN10789_c0_g3,59.289159
1,dis_TRINITY_DN1079_c0_g1,10.680094
5,dis_TRINITY_DN10797_c0_g1,2.203669
1,dis_TRINITY_DN1080_c1_g1,18.645201
1,dis_TRINITY_DN10808_c0_g1,187.676047
1,dis_TRINITY_DN10809_c0_g1,19.136804
7,dis_TRINITY_DN1081_c0_g1,13.637695
8,dis_TRINITY_DN1081_c4_g2,11.000348
1,dis_TRINITY_DN10814_c0_g1,569.16971
8,dis_TRINITY_DN10818_c0_g1,156.14913
7,dis_TRINITY_DN1082_c1_g3,0
2,dis_TRINITY_DN10821_c0_g1,210.357679
1,dis_TRINITY_DN10823_c0_g1,15.41433
7,dis_TRINITY_DN10826_c0_g1,3.80143
1,dis_TRINITY_DN10827_c0_g1,28.776579
1,dis_TRINITY_DN10828_c0_g1,247.890973
1,dis_TRINITY_DN10828_c0_g2,244.123017
7,dis_TRINITY_DN10829_c0_g1,37.542344
1,dis_TRINITY_DN1083_c0_g1,0.600685
7,dis_TRINITY_DN10831_c0_g1,1.3254
1,dis_TRINITY_DN10834_c0_g1,63.825514
2,dis_TRINITY_DN10835_c0_g2,0
1,dis_TRINITY_DN10837_c0_g1,1278.309288
8,dis_TRINITY_DN10838_c0_g1,0.817865
5,dis_TRINITY_DN10839_c0_g1,79.176967
8,dis_TRINITY_DN1084_c0_g1,6.587956
1,dis_TRINITY_DN10841_c0_g1,23.764141
1,dis_TRINITY_DN10843_c0_g1,81.491296
8,dis_TRINITY_DN10851_c0_g1,10.922667
7,dis_TRINITY_DN10854_c0_g1,0.275603
8,dis_TRINITY_DN10859_c0_g1,6.515065
8,dis_TRINITY_DN10868_c0_g1,2.275067
1,dis_TRINITY_DN10872_c0_g1,90.681732
8,dis_TRINITY_DN10874_c0_g1,53.872352
1,dis_TRINITY_DN10880_c0_g1,84.066492
1,dis_TRINITY_DN10891_c0_g1,322.17243
8,dis_TRINITY_DN10891_c0_g2,2.061964
8,dis_TRINITY_DN10894_c0_g1,37.634679
1,dis_TRINITY_DN10897_c0_g1,10.365183
7,dis_TRINITY_DN1090_c0_g1,0.305357
8,dis_TRINITY_DN1090_c0_g2,19.014064
8,dis_TRINITY_DN1090_c0_g4,12.536737
8,dis_TRINITY_DN10901_c1_g4,29.781006
1,dis_TRINITY_DN10905_c0_g1,28.797734
8,dis_TRINITY_DN10909_c0_g1,5.242967
8,dis_TRINITY_DN10910_c0_g4,2.786297
8,dis_TRINITY_DN10913_c0_g1,29.263372
7,dis_TRINITY_DN10922_c0_g1,40.94471
8,dis_TRINITY_DN10923_c0_g3,17.043083
