OG,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
OG0001375,0,0.08261,0.094827,0,0,0,0,0,0,0,0,0,0.199274,0,0.116461,0.226421,0,0.180226,0.179737,0.1874,0,0,0.133756,0,60.998644,8.159332,64.435047,6.505638,2.299252,1.475999,90.36763,63.81374,151.570391,0.433476,3.647241,4.287308,135.589328,77.011525,228.399449,0.897813,0.55073,0.340335,371.917396,274.37884,8.670362,4.387251,2.480694,0.367455
OG0001376,0.767614,0.758536,0.3518,2.79392,12.439116,3.0941549999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648518,2.110997,1.008263,2.38955,1.336457,2.932757,3.30909,0.806935,35.733776999999996,2.379767,8.746546,2.400423,0,0,0.203764,1.662258,0,0,0,0,12.608161,0,17.427056,0
OG0001377,111.400112,98.346895,139.418122,5.837846,6.701569,2.057873,63.317503,49.794228,52.785801,74.80686,90.807635,85.101921,66.994295,84.619001,85.503965,199.614508,200.149777,219.138168,149.08826,104.040485,111.175611,78.64929,81.340053,151.846822,14.306404,39.186185,37.115373,98.602125,74.37588699999999,53.038364,36.401975,30.549791,42.079163,84.008368,85.33211,52.063491,45.499222,37.805494,23.987211,72.789186,71.636863,107.96893,75.953899,60.531617,44.271023,226.67596700000001,156.999604,55.926325
OG0001378,12.053258,8.172188,9.840783,0,0,0,31.218252,31.029015,30.635007,56.01744,58.760236,78.733514,58.837728,53.318572,64.860685,60.31107,67.676238,60.273601,26.858136,27.326309,25.315999,23.905802,21.522232,34.802741,4.411317,6.664869,8.313201,30.849328,16.973825,20.851733,6.214169,7.770063,9.306783,64.999095,23.015751,11.212714,7.851736,5.625289,5.030957,9.743558,21.945075,17.201991,5.562664,6.308177,7.089365,47.295523,96.38892,9.558843
OG0001379,31.47781,25.32175,28.794868,13.524111,1.119248,2.276485,56.098859,54.286974,68.597433,54.509486,42.010897,50.598808,61.756997,53.490508,67.344752,28.642832,28.638391,36.782169,56.612700999999994,49.069585,50.245651,42.126189,38.141128,47.257252,13.421562,20.090269,19.338732,26.009363,36.703894,37.28963,21.581066,20.855533,9.822669,23.397678,36.415522,35.556977,14.741966,19.573186,20.577028,23.27022,40.702226,17.627938,18.850466,18.846756,25.107126,15.063483,18.432415,23.446772
OG0001382,229.211872,316.235943,170.177863,28.150971,16.192729,24.58341,101.775258,85.531043,90.199751,274.445156,301.921474,323.217246,298.061701,350.762941,327.965189,1056.004281,1098.881123,1097.307512,591.77386,307.020159,441.067528,417.66556,275.635306,446.322799,43.375764,114.39388,66.276691,583.104144,632.258935,335.15683,101.931645,125.502051,77.682028,1427.987527,609.87855,380.194838,59.572521,81.512804,23.361592,269.260539,372.321942,934.053168,72.939278,80.950184,56.536788,1245.188462,1267.766342,329.552427
OG0001383,36.328799,42.591805,41.355893,1.790838,1.360793,1.06552,105.162028,92.004873,79.226896,159.194324,172.199705,181.153773,141.050562,137.156008,151.161329,53.518824,66.179405,64.602979,16.519225,40.781408,37.135773,60.311927,67.093355,84.266686000000007,94.940767,39.619309,23.043797,10.808291,24.80861,21.936958,16.764622,55.794463,9.157855,13.038348,10.465381,40.976593,13.648418,48.140125,23.351378,24.073825,26.047586,8.245081,11.911545,19.344072,8.58199,13.720098,28.063045,16.647139
OG0001384,60.96138,39.347646,47.803698,0,0.521731,1.450701,39.825982,43.07799,47.30149,49.919092,56.327212,46.844174,70.086518,81.133401,54.908652,58.265675,58.789354,62.287837,66.713298,66.27582,72.816892,60.709064,59.302986,60.818779,87.935456,92.902453,94.748818,62.698133,134.307765,90.294763,73.174384,67.2889,104.449918,55.159354,55.653517,93.695431,77.689622,72.630411,76.809795,56.040859,79.529799,49.257429,61.384492,65.574991,51.197278,38.350454,57.427887,40.799086
OG0001386,1.270024,2.601339,0.89822,0.066918,0,0.121572,104.396919,78.984036,94.046265,82.643432,62.203821,68.835649,79.545829,53.30981,63.608878,51.126084,34.513812,34.687904,23.677595,55.11545,27.493044,56.208062,64.746217,46.948926,26.255571,17.362926,16.702374,3.462268,2.505801,1.783554,4.739615,16.938152,7.012824,0.788654,1.083757,2.732063,36.247652,16.717253,11.038993,4.70777,1.55944,1.676971,16.08645,14.847855,7.859139,2.142998,0.851488,1.220113
OG0001387,1.663474,2.663225,1.759065,0.301426,0.319358,0,29.697821,22.591561,43.073993,34.518985,34.859441,40.500689,33.536287,29.787038,41.932726,31.765764,38.920097,55.430828,56.816647,41.319553,86.582845,105.828261,90.954755,122.663131,85.892776,31.168408,27.555932,20.085541,16.512397,29.638157,52.593666,25.950653,6.772131,64.320144,22.360335,43.565015,102.701741,106.022317,37.15979,16.912661,35.68842,7.954483,67.771534,57.847358,17.874576,53.069612,56.599255,51.705416
