rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_sorus,matSP_stipe,4wSP,earlySP,matSP_meristem,matSP_vegfrond
7,nbis-gene-763,5.21264,3.9297999999999997,7.234484,10.807767,6.746177,3.532555,0,5.209652999999999,5.979205
1,nbis-gene-7630,3.4346259999999997,5.133825,4.468158,9.08745,10.395381,8.063413,0,4.0954695,10.402731
2,nbis-gene-7633,6.832088499999999,5.2693965,22.218371,37.393867,56.183218,31.070257,0.157789,25.592212500000002,99.873246
7,nbis-gene-7636,7.646637999999999,3.4593985,23.252991,9.431974,11.632742,15.427673,0,7.4762565,26.086552
1,nbis-gene-7637,8.3254105,17.281602499999998,13.548877,19.238139,11.383505,11.222174,0,18.8239215,7.194873
7,nbis-gene-764,8.000228,14.841925,168.60409,42.797069,116.738383,11.603247,0,54.764553,107.629031
5,nbis-gene-7646,8.2694615,13.047450999999999,2.300649,4.687896,3.587462,9.023119,2.240316,4.2134475,3.153021
1,nbis-gene-7647,8.6362405,4.7844615,0,12.613648,1.422262,2.252033,0,1.8562750000000001,2.632229
1,nbis-gene-7648,121.9037145,190.627565,48.968807,42.909953,38.903386,47.44375,0,39.159743,46.437504
7,nbis-gene-7651,0,0,0,0,0,0,0,0,0
1,nbis-gene-7652,10.0533875,6.892389,5.634444,0,0,5.59299,0,2.0312615,6.320593
2,nbis-gene-7654,11.341538,9.562971000000001,17.847202,15.475954,7.957484,20.791023,0,5.9216549999999994,8.116474
7,nbis-gene-7655,0,9.417195,0,0,0,0,0,0,0
1,nbis-gene-7657,20.0533955,31.0016645,6.515829,11.615954,13.950833,29.683132,0,6.988065,6.174585
5,nbis-gene-7658,8.356105,2.626852,0,0,0,0,0,0,0
1,nbis-gene-7659,2.1778475,8.7892865,11.09476,2.628877,4.074078,6.003694,0,5.9347639999999995,2.352734
8,nbis-gene-766,10.0149915,9.7091105,31.709787,40.532671,25.47586,10.081279,0,13.1478335,23.007748
6,nbis-gene-7660,11.872848000000001,8.578423,7.485525,10.167479,5.540016,9.446054,0.142089,6.8440995000000004,4.002324
7,nbis-gene-7661,0,0,2.509083,0,0,0,0,1.1183025,3.379255
1,nbis-gene-7662,227.799744,245.0252945,255.327408,299.932183,220.808355,87.162685,0,116.497783,87.680117
