rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
1,nbis-gene-18003,7.3074945,0,6.687773,12.628921,16.691196,8.987967,39.60284,43.272617
1,nbis-gene-18004,20.3913495,47.310044,8.924338,22.195683,16.140405,29.243414,35.463709,31.961667
7,nbis-gene-18005,5.881432500000001,1.555396,8.5332645,39.402226,34.540993,28.451656,36.44534,35.380395
1,nbis-gene-18006,4.285354,0.600529,8.735771499999998,6.538699,5.425032,6.200866,44.637756,52.887556
7,nbis-gene-18008,5.2030915,0,13.617867,13.787032,21.325508,17.135831,18.874271,16.000956
2,nbis-gene-18009,84.25555,15.488709,39.477560499999996,10.885281,34.265698,19.913485,48.346037,45.864835
7,nbis-gene-1801,17.684904500000002,0,32.112437,36.136887,21.197423,16.864503,6.398308,15.669972
1,nbis-gene-18011,15.2049245,0.267626,38.384275,142.862749,168.237667,82.908955,81.538011,112.572055
1,nbis-gene-18012,3.2069845,4.947283,2.2467075,7.315973,6.958811,4.431974,11.640304,9.297357
2,nbis-gene-18013,2.4203574999999997,0,8.0501395,36.278538,41.761462,25.313096,44.767052,46.517466
2,nbis-gene-18014,7.855919999999999,2.193994,2.2223625,16.179954,9.423763,23.588555,48.253185,50.153011
1,nbis-gene-18016,1090.752908,16.385591,0,0,0,0,2.284843,6.780634
1,nbis-gene-18017,2.0870955,0,12.1425895,2.574231,40.859474,9.373459,48.917175,19.189935
1,nbis-gene-18018,2.987343,0,0,0.357796,0,0.116631,44.036813,32.326194
1,nbis-gene-18019,21.271722,13.209964,10.0220045,37.532398,46.625115,24.149015,118.836713,111.884988
8,nbis-gene-1802,2.754578,0,4.862493000000001,9.567751,8.236194,3.81589,58.144908,59.010587
1,nbis-gene-18020,15.884911500000001,474.359793,0,0,0,0.199569,0.215863,0
1,nbis-gene-18021,3.5603225,239.810376,2.9339370000000002,2.513156,1.422948,4.60235,2.106549,0.443705
1,nbis-gene-18022,73.61038149999999,146.525003,0,6.005731,0,2.866887,2.372229,0
1,nbis-gene-18023,22.869073,4921.569386,5.774443,1.501103,1.989432,9.897124,4.131623,2.220784
6,nbis-gene-18024,4.325745,45.329171,0,0,0,0,0,0
1,nbis-gene-18025,2.81175,38.864924,1.8175065,0,0.575848,0.821595,0,0
1,nbis-gene-18026,16.3931125,1561.728091,0,0,0,1.353638,2.32112,1.909626
1,nbis-gene-18027,4.79561,564.675845,0,0,0,0,0,0
1,nbis-gene-18028,12.070966,1351.549338,1.068511,0.284352,0.104805,1.041517,0.578471,0.451864
