PS,GeneID,gamete
1,dis_TRINITY_DN10492_c0_g1,147.836565
7,dis_TRINITY_DN10495_c0_g2,126
1,dis_TRINITY_DN105_c0_g1,134.479328
8,dis_TRINITY_DN10505_c0_g1,127.055099
1,dis_TRINITY_DN10542_c0_g1,126
4,dis_TRINITY_DN10558_c0_g2,1770.200559
8,dis_TRINITY_DN1056_c0_g1,155.381414
7,dis_TRINITY_DN10601_c0_g4,148.592965
1,dis_TRINITY_DN10610_c0_g1,137.122362
1,dis_TRINITY_DN1062_c0_g2,140.026461
1,dis_TRINITY_DN1066_c0_g4,549.592431
1,dis_TRINITY_DN1073_c0_g4,130.196542
8,dis_TRINITY_DN1075_c0_g1,427.678205
1,dis_TRINITY_DN1080_c1_g1,132.546749
1,dis_TRINITY_DN10808_c0_g1,165.643335
1,dis_TRINITY_DN10814_c0_g1,304.81352200000003
8,dis_TRINITY_DN10818_c0_g1,225.027744
7,dis_TRINITY_DN1082_c1_g3,126
2,dis_TRINITY_DN10821_c0_g1,207.169666
1,dis_TRINITY_DN10828_c0_g1,151.907542
1,dis_TRINITY_DN10828_c0_g2,173.18308
1,dis_TRINITY_DN1083_c0_g1,128.610858
1,dis_TRINITY_DN10834_c0_g1,130.869587
2,dis_TRINITY_DN10835_c0_g2,357.558008
1,dis_TRINITY_DN10837_c0_g1,921.43875
5,dis_TRINITY_DN10839_c0_g1,143.19459799999998
1,dis_TRINITY_DN10843_c0_g1,150.475985
1,dis_TRINITY_DN10872_c0_g1,165.409722
8,dis_TRINITY_DN10874_c0_g1,136.333273
1,dis_TRINITY_DN10880_c0_g1,182.39544
1,dis_TRINITY_DN10891_c0_g1,237.678601
8,dis_TRINITY_DN10891_c0_g2,127.839152
7,dis_TRINITY_DN10922_c0_g1,144.391746
1,dis_TRINITY_DN109406_c0_g1,170.444757
1,dis_TRINITY_DN1095_c0_g1,358.41316
8,dis_TRINITY_DN1096_c0_g1,146.322949
7,dis_TRINITY_DN109679_c0_g1,126
1,dis_TRINITY_DN1098_c0_g1,132.480583
8,dis_TRINITY_DN10998_c0_g1,425.463996
