GeneID,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
ser_TRINITY_DN3305_c0_g1,2858.387620954168,2872.8742240043366,2919.0132112333954,2845.9978177308403,2845,2845,3007.578247083728,3131.137968131236,3163.402778741598,3006.8568560288713,3451.956888525243,3076.5096053514667,3031.4661145860387,3501.299453952973,3112.447153605039,3026.0203777019096,3197.721974044768,3020.050289935978,3263.808495540233,4046.0046728361726,3307.797172604106,3914.9258329211534,4873.570469034738,3360.3467079586485,4830.157680736297,3020.160010555607,3129.8257484584938,3069.449921747591,3037.286762262382,2944.0908530680113,3011.3401708018982,3059.286515601247,2852.4874608733826,3146.1152006132484,3057.906569380738,3022.841180135777,4573.456548679662,3195.2941591262665,4529.453658671997,3004.9204430652526,3021.697159292071,2999.8897165333,3143.900933426516,3349.218716583117,2883.2063203079865,3259.1098824037167,3138.454539911855,3679.9427156104207
ser_TRINITY_DN33053_c0_g1,4102.780588120201,4831.530767357434,4518.037221604587,2878.901251714929,2858.102439752575,2853.0307028746756,3807.496458035611,3429.8932692963017,3496.660288905463,3364.2469773124444,3409.371561484821,3303.262856965574,3679.386511287323,3688.6421559710584,3457.075458012412,4153.864583884837,3958.244301591678,3767.091744681527,3324.838174557114,3517.4311404759724,3349.719453997794,3407.971676608233,3425.039482322345,3310.193309241695,2963.5357613973333,2992.985098749974,3009.106080661078,3089.7449969090267,3500.307292655175,3198.135635469709,3074.4597881072987,3042.366051032634,2850.6763982553807,3179.4501893437628,3194.9976557123605,3404.8220763112486,3027.4226279095105,3030.5426060652476,3598.6396988927936,5665.700866498424,4716.77432431122,5285.538107775702,3087.4872499699964,3090.398187762711,3070.7275630104123,3056.4823308028635,3147.903876470068,3865.0120787699434
ser_TRINITY_DN3306_c0_g1,3852.256269221994,4099.602268117633,3936.722380884331,2848.9994050238197,2847.036113590524,2851.07387652897,6831.112334676104,6953.979656274745,5857.669330229093,5642.176856634795,7437.361492625028,5744.356601172109,6626.596615043841,8328.08122265502,6198.910221492563,4897.746436013807,5675.724247401882,4686.607540558654,4536.223993232796,6628.117559636206,5139.053677769263,5962.340640012424,7544.589304052645,4759.960061365999,5217.490159771574,3736.1017546691537,4119.91166222271,4130.572533410166,3994.331223123352,3946.8898937754802,4080.042118332877,3614.1989123631547,2896.266104068546,4307.517718956193,4075.2041896171418,4251.860703883706,4772.0240413266165,3876.6277654569717,4656.143509646559,4079.601100256692,4357.616276990537,3685.208005772053,5008.6264367745425,4925.853892070912,3064.4505215987215,3772.867980395492,4176.23072276947,3843.0768223573996
ser_TRINITY_DN3307_c0_g2,3233.4636607520365,3345.0366676068247,3257.9329324730884,3984.0890376876496,4110.386559202867,7049.674893334146,4156.663916873091,3878.2217019971713,3804.2549806925263,3610.007685838534,3856.625659333906,3858.678256738281,3850.1439545304884,3730.586122770168,3758.0508316116156,6351.131116486569,7481.469414287501,6219.6046547370925,5959.774666509014,9264.361220904473,8430.568388790414,12464.307349443574,12414.113712815777,9852.235920070169,3152.9808061778244,3472.4320572084803,3936.0140599219494,5275.648366317813,4827.767501905756,5102.905198054728,4108.9088206266015,3713.5794304255473,2859.555359493216,4733.839177474023,5814.3501248486045,4820.546816258605,3605.8746263372013,4104.711402306133,3913.633724427161,6604.671711016377,6518.328692358368,4261.492076001077,4749.709650979361,4489.617473034232,3059.946524285275,4402.291952551101,4426.9419061576655,5501.18733118266
ser_TRINITY_DN3316_c0_g3,3243.148013496036,3250.444916560728,3323.696306678485,2857.041837810661,2867.7149771909053,2881.8507626803125,10388.862392650557,9197.507412847423,10846.346539529255,6042.465186446727,7038.6196005431,5997.465755868719,8123.508699758597,8730.385716113056,7023.097039926228,5437.410494366903,6754.723776083079,5578.847734091591,3394.523922506587,4393.335388742477,3754.1364132451536,5188.032822366585,6411.410347846764,4341.754856575933,3904.2371917570044,3297.3355622191443,3204.1288507052495,3037.905067358709,3240.007569314602,3201.2897682566086,3193.0352726047454,3547.8403085962805,2868.7754670891227,3426.678192658418,3018.431209889819,3215.332212529785,3550.554916551138,3529.1072303031206,3504.3310318980703,4137.992916733506,3941.895928844415,3396.2633908479843,3555.96335232265,4085.099654176598,2947.599656187052,3283.170200830361,3333.452686887059,3848.7410187156165
ser_TRINITY_DN3317_c0_g3,3836.050844043382,4004.5299555594966,4051.763581818478,2931.3183083008244,2923.4710347594964,3065.2261995003664,5133.716910286173,4648.3596051520035,4826.5046079296235,4594.854310919571,4912.601653631485,4585.708929498594,5529.697448709425,5407.120191435109,5013.8677953701645,5603.422334971901,5364.629795407898,4987.595064465522,5421.832549163566,6325.105307933631,5739.751929263066,7153.808370307484,7445.745633806713,4948.985901471774,4371.830561269654,3695.6061874699617,3942.0114547330736,3912.2700359092437,3814.3897274616593,4006.8148646102927,4017.1446602542164,3929.6111893499474,2891.5844306820695,3916.188465826066,4065.0592836844817,3832.964076949293,4777.957429135433,4085.303163705183,5819.260691586924,4580.376591194991,4497.847169376128,3932.9741161738993,5302.580017886724,5112.530354165394,3144.8712705467324,3823.4728240479467,3939.4083904443432,5079.451420541396
ser_TRINITY_DN33184_c0_g1,4453.823639686926,5082.405230757374,4622.632348371094,2855.0355092694767,2853.2555024297358,2857.286000653282,6111.571518082161,5481.902147020287,5839.092036025006,5047.619730590687,5521.1106655282765,5135.74282856242,6210.048408209073,6378.509375638625,5665.657451758565,5297.669757499665,5251.583990597273,4983.370870894147,4558.696087464381,5263.322684639785,4955.752696506321,5191.014123609714,5447.638180990583,4787.91203341928,3825.79573750565,4097.8565916951075,4400.077584611308,3930.8921467148757,4531.818633995512,4035.7441984405177,4815.533952867451,4422.648079222234,2911.7321052294706,4214.866463239225,4696.997644664949,4278.936503218553,4840.327685970611,4719.342539834646,4930.88680103268,4922.988624092588,4754.321808748511,4446.345739483102,5807.526642352745,5591.075644956307,3426.048915129343,4077.5133279331476,4786.860915359399,5264.719856367656
ser_TRINITY_DN332_c0_g1,4296.031954271698,3865.6906640603474,3979.695967534146,3170.7348372580536,3114.0920314593277,3381.8408269557654,5084.569287242858,4986.43412134762,5052.352199093683,4564.515575195228,5141.2481187626,4816.057436884808,5498.032828529807,5562.061869521891,5104.503773050677,6173.452670364182,6538.267058404522,5659.806436308154,5744.8425160533225,7382.9633828779915,5797.3752371099035,6840.538711167225,7965.162494590079,5747.768376345557,4112.603739597655,4817.377605490443,5315.662560740015,5680.7812221652075,5032.465324441253,5254.847664628844,4952.796490083216,4968.638147494655,2906.6606562665306,5194.249679638384,6313.878020527827,5017.870803932705,5573.782443434931,6028.707471361663,4944.317849661814,6131.281533369063,6975.41300102474,5476.314375423495,7087.06485211444,7094.625540107382,3302.073798036535,5712.3933164773325,6784.964027800332,7243.275182069727
ser_TRINITY_DN33239_c0_g3,12948.437017960123,14125.265102118488,14162.03381232595,3639.682024383843,3679.186607646058,4528.197843908923,6763.530649891269,6142.80861232262,5578.910363411491,4880.482625717386,5284.2483495352935,4729.629113196812,5507.41511319481,5368.648096164736,4747.124083338827,5521.654929366254,5908.30465762717,4855.178072074414,6267.534401849756,8043.215044766408,6690.403752913783,8253.331209824915,9249.141592647364,7421.2437926621515,12442.285480876655,6427.951630068474,6517.309404952861,7185.756051293711,8482.693970711134,8738.958888590405,5624.72950729018,6693.276136291898,2960.9101036970105,6801.704685918408,7706.364136440142,9367.145761487885,5900.963447524648,7526.159730268768,5608.743148004072,5006.809826102866,5300.23685747475,3880.0202043949876,6588.073519358034,6530.162123976755,3220.0254627967533,4671.466139381944,5725.676341673999,4589.760786186988
ser_TRINITY_DN3328_c0_g2,3156.0137551177363,3135.884740807627,3129.1204877816804,11475.35468225844,9199.38889895595,19056.76221130592,2851.2166237625574,2851.225145418386,2846.0243985207944,2847.0555843081315,2846.025025904172,2845,2845,2845,2846.012483390506,2845,2845,2845,2846.00203197691,2845,2845,2845,2845,2845,2845,2845,2845,2847.8762405614466,2980.573744277641,2971.080947396514,2845,2845,2845,2845,2845.950284018469,3115.7383621134804,2845,2848.0041870776895,2845,9472.153441429195,8289.194113527103,5718.418302373778,2845,2845,2856.9032355013755,2845,2858.926740788026,3019.4453444468427
ser_TRINITY_DN3329_c0_g1,2866.1651698709015,2883.8513106787814,2857.8828106189935,2846.003395681363,2846.031315974959,2847.0466296383847,3067.5868566384584,2944.102185634231,2976.1353427548024,2990.4333585273757,2981.427175995517,3024.227873665516,3035.590941923029,2971.0240167892157,2958.9031005775696,3592.615791542996,3587.919249199841,3423.2678010898567,3214.7539206912643,3792.62894088857,3585.977264938779,3427.7318910265476,4408.615074391308,3127.214251274713,3175.703734644745,3003.168513716897,3684.463767130617,3592.616712260328,3075.3549455182806,3194.1961143240246,3107.385993848381,2964.700459213013,2848.6597266404865,2976.212244022844,3242.40608772415,3056.2679255745948,3479.288424141324,3127.0323870865695,5054.1666843535095,2947.2668965963007,2948.4684270274843,3092.5583892424806,3357.7904637854376,3357.5988418304782,2931.8200290477425,3469.2140563028815,3107.042688064255,3686.234061902539
ser_TRINITY_DN333_c0_g1,3057.953199240234,3251.5657569214977,3137.996999684652,2854.000892992278,2847.0379465069727,2852.09153044988,3572.734994545992,3514.284701787078,3348.5680546403973,3731.4073976061704,4018.258483630408,3817.1910135584662,3934.1941867888813,3821.905748399119,3826.891084661468,3994.4238695392314,4142.218291751133,3946.6415154807096,3794.7304490719234,4564.6435645325055,4298.780431344485,4918.761483780179,5356.056271287451,4785.648832458548,3523.865703255218,3312.066619775131,3799.782033916525,4664.608193214157,4256.832157050818,4217.830232216026,4430.1369161154,3659.2104148877625,2866.4103886169232,4490.709515630906,5171.522100928891,4439.112929692936,3445.3453060270435,3586.0892443759817,3309.1128396418253,3831.009669635791,4106.758132315125,3171.37608269566,4284.659241797496,4373.131817912786,3026.8620639099827,3593.169137498879,4172.040475662638,3710.2229069219893
ser_TRINITY_DN3332_c0_g1,5712.976835714314,6467.630404363659,9687.813117291627,2851.9184165367124,2851.806389040778,2847.9226409642583,8225.5570361401,7260.926774621339,7631.47532523504,6157.3388076007495,6977.051409479002,6496.677692775406,7421.997774258862,7475.732624642892,6782.819220574096,6877.035180450839,6896.04092376631,6301.592305175211,5809.603905791875,12794.658728925458,8156.59469356306,10570.773464902944,11539.500401109735,12396.080954294519,31058.944229111683,28025.040371698433,33816.61293340122,16704.331031333837,9704.880274707326,14848.069190405591,30282.38092889981,31186.36254198782,3864.492012744417,7322.694206182433,17325.07630538534,12798.09437338714,17741.9768984024,29391.550197630804,10245.242870248941,4793.007494567257,5016.999977983714,4984.522045725563,20906.114667613096,21505.413865102877,5331.485720867377,7990.058068809412,9281.531341952017,3937.7140802644017
ser_TRINITY_DN334_c0_g1,5027.198712341373,5155.698553765795,4749.540543276304,2848.003589965213,2848.0692062501216,2846.016479720629,8002.090755463848,7444.683004618327,7623.5057690642825,7336.004148495431,8362.758598978462,7320.992198087303,9097.17140661446,10184.985887428282,8368.37648481337,4879.360011788086,6687.6415419980385,5800.09943286198,3788.4661731692404,4885.080043470705,4300.377594129778,4226.662709596455,4411.74869235426,4175.241014693911,3038.2866779141145,3392.21483957815,3390.761179005758,3125.3926798502753,3835.2117478465448,3563.552427120916,3128.027772921984,3293.3110924634434,2869.062524079265,3074.6743187022676,3224.6411338756207,3804.4792981805813,3284.7354175093315,3410.559467698507,3122.591034272147,4242.001257563982,4135.593881553979,3334.845762402484,3333.324643064898,3324.4911747664896,2917.1079964555806,3146.811717891755,3406.512011761869,3057.2251072121253
ser_TRINITY_DN33487_c0_g2,4088.5664348714645,4190.254268375266,3874.958968929691,2976.012920202417,2919.384950362291,2926.0460117037373,5714.23597157589,5626.551350083166,5395.703345131882,5355.454501469678,6807.708862516318,5797.694762580659,6673.506151648339,7485.49942171504,6433.107689101527,5680.655281678273,5909.413979607002,5247.656704503469,5129.3516037812515,7063.391046687349,5307.031212895336,6558.801499894909,7448.434960402323,5314.2545210727585,3788.444413814273,4500.709213850098,4618.5742444891475,3899.707612034521,4272.084902903203,4167.75452454251,4262.594565186013,4549.72397422358,2937.1577577178095,4058.985359138802,4165.585417999549,4240.200675519228,4413.612291440887,4871.509566449919,4640.744546472537,4377.688423727643,4215.61570593167,3675.254915020784,4895.273320950095,4918.329798204,3111.8628051308806,4366.310566670037,4725.056555927759,4259.364378252185
ser_TRINITY_DN3350_c0_g1,7454.202463940658,7855.280910183433,6778.015730814835,31009.340693085378,22842.159967721505,62061.26330865269,14761.558028048019,11742.406943441381,13522.791649563222,9264.554070421877,10276.326938057602,10098.4297536157,12439.995068222875,12017.476820081385,10648.978803023583,14478.199463881405,14020.494555360157,12248.816490788206,11712.686174998513,18359.123749295766,15276.362978636633,19249.69935564589,19236.860637132533,17003.4351681502,4393.5676485019885,5092.215791626661,5284.6572891247615,7078.736246758115,8024.6483281847595,7339.040890484143,4577.301586673052,4627.40031037934,2904.7887418756236,8214.727971119111,7686.939522577501,7203.086371591889,5567.843448781881,5682.141852407031,4805.043636867701,12011.401219214766,15422.648626863054,7751.70473941668,5901.880048612222,6067.923213757223,3233.935574203486,8354.402862837856,11536.04963389345,6491.9697837942695
ser_TRINITY_DN3351_c1_g1,2852.025787424318,2855.962143601049,2849.968750158675,2872.9805516168326,2868.368562422194,2870.2655835493774,5037.05881880816,4888.796106585823,4326.793373436111,4611.497469298473,5232.086732217043,4687.595398104135,5145.024037751625,4897.644276020546,4618.9723414958535,3113.466443448536,3194.7346336297974,3181.7831196984707,2868.979664041159,3001.2758806282563,2896.431236958571,2900.399013008219,2910.4542812300206,2915.3046911248985,2946.3618546364705,4634.860586428859,3695.655368730521,2910.8713846556157,2897.661759593352,2892.534836655031,2994.035035177254,3014.927539730118,2847.804522560522,2903.5349950003088,3067.238579631449,2920.873769904241,2985.5325633430484,4567.331726580149,3269.5052200186246,3105.486531029761,3019.3523507473174,2986.9810038440087,2929.414699378072,3024.6053266500107,2848.95525966535,3440.1293068794484,3322.956172257932,2917.976344969448
ser_TRINITY_DN33602_c0_g1,3058.496889314879,3360.0657538678634,3228.716732539246,2849.0104018354477,2847.056695950721,2851.1251527807976,3880.3184527398957,3824.336540828926,3960.9452533543626,3466.1895845094973,3593.2435011341245,3466.6289055705956,3881.0794872088163,3581.4320243835173,3579.563367486359,4419.880789705643,5067.687753870749,4600.7110689599085,3466.9245959414034,4659.22834550521,3979.893432290716,4867.975911168611,4650.312586037898,4046.226548577305,3531.5131754821914,3451.2727177300303,3228.278917441588,3513.59531363888,3547.4527797203223,3311.1980714107185,3273.0911757664862,3435.2897090933084,2854.186764981199,3616.971355098871,4157.2040623888915,3689.611419797932,3201.3305633034756,3414.883290786721,3467.2178060611263,3403.1440273614935,3337.2183946862583,3031.8397125585384,3782.5325733734903,3691.2898197328,2884.4806442793174,4437.995626401236,4816.812603173911,3395.1473016466425
ser_TRINITY_DN3363_c0_g2,3412.181957467084,3333.2279528026183,3479.1766859532104,2864.0231035015254,2858.3008722021614,2860.2481010290626,3141.039652494709,3087.6890829100143,3237.221121394816,3037.88736078228,3123.5296682741255,3087.6887040764623,3221.1654155639562,3339.3433307845326,3221.5298026353744,4412.378995212592,4180.038678607776,4022.4236418642536,3749.8386447255352,4328.956962662438,3872.0138259270734,4382.4322316858015,4543.316719534582,3771.173504968128,3156.8268037668554,4020.5931568253486,4729.916769193717,4003.25636148274,4006.596919912915,4763.346858044309,4252.522670857054,4658.255932185909,2895.8961911439646,3820.530024871057,4287.953133053113,4215.702653437614,4090.0740122510797,5312.09819322812,3185.1361404152985,3977.696342171511,4038.719399175334,3834.9864469479026,5076.193221065583,4888.942320597886,3040.5784528842814,4272.122278383409,4714.700678818889,3135.3121254217513
