PS,GeneID,gamete,E1,E2,E3,E4,E5,E6,matSP
1,dis_TRINITY_DN7697_c0_g5,219.21004450000004,170.829908,190.352146,178.79670800000002,189.921003,188.31012900000002,167.69242400000002,170.19517050000002
7,dis_TRINITY_DN77_c0_g1,132.36715500000003,209.752875,263.73655099999996,143.8043615,143.813375,139.3032345,139.995917,135.60773
5,dis_TRINITY_DN7701_c0_g1,185.57050600000002,183.964273,168.795732,181.963371,178.400139,164.00190600000002,182.392605,209.7413105
1,dis_TRINITY_DN7714_c0_g1,755.1423585,1329.406479,1280.477267,1642.3176465,1439.878679,1546.1858109999998,1454.617558,830.6969019999999
1,dis_TRINITY_DN7727_c0_g1,250.65571649999998,394.3616,579.3898859999999,383.96946349999996,340.266085,347.4071285,313.787327,308.37329700000004
7,dis_TRINITY_DN7746_c0_g2,136.5235025,215.2601,194.31275,133.4560795,136.702104,133.157342,132.837226,133.11274650000001
8,dis_TRINITY_DN7749_c0_g1,200.7324285,179.820062,189.532942,197.255677,184.274052,181.45678550000002,177.990429,203.40678300000002
8,dis_TRINITY_DN775_c0_g3,994.7626495,223.25178,190.063837,211.340165,206.86735,220.25222150000002,187.556608,250.383748
7,dis_TRINITY_DN7757_c0_g1,286.3116145,132.551043,132.384155,131.4458095,131.135661,130.98689050000002,130.545055,135.8192765
1,dis_TRINITY_DN7777_c0_g1,191.740049,231.740151,229.589607,260.138238,255.827764,248.7381315,216.534132,192.246108
7,dis_TRINITY_DN7779_c0_g1,247.5459,330.87636399999997,358.16698299999996,234.1489895,260.192249,275.6768445,220.639167,220.6361495
8,dis_TRINITY_DN7788_c0_g1,172.73499,168.444658,159.016413,203.67462849999998,212.004872,193.740684,163.478749,156.912379
7,dis_TRINITY_DN7791_c0_g5,323.25042,556.2808319999999,892.445091,485.72312049999994,606.610077,705.6741815,606.2973420000001,559.0774785
8,dis_TRINITY_DN7809_c0_g1,217.67177800000002,194.420953,151.865281,173.527172,174.671973,183.8384155,167.995642,178.14024899999998
1,dis_TRINITY_DN7820_c0_g1,211.606557,257.21299899999997,246.602424,343.02732100000003,238.023798,230.4201825,209.357923,279.8699855
1,dis_TRINITY_DN7823_c0_g3,336.894392,244.607404,325.955248,767.601853,580.060547,513.729342,502.688326,378.1001675
8,dis_TRINITY_DN7823_c0_g4,132.34238900000003,169.884209,233.402954,139.9525295,136.09247,132.48756350000002,136.633291,135.56178849999998
1,dis_TRINITY_DN7824_c0_g1,174.0945885,163.951303,200.104934,183.76210500000002,266.87421900000004,239.5469975,230.397655,180.3629895
8,dis_TRINITY_DN7824_c0_g4,370.54535500000003,136.465937,133.625783,146.64314100000001,150.36979300000002,147.54968200000002,147.382648,154.334975
7,dis_TRINITY_DN7833_c0_g2,130.71000700000002,158.381251,212.848758,262.29646649999995,219.830645,171.4719215,226.632577,253.57941500000004
6,dis_TRINITY_DN7880_c0_g1,409.85610249999996,768.149726,729.907426,568.8404385,875.396862,757.778145,649.492967,313.9798935
1,dis_TRINITY_DN7883_c0_g2,131.270053,130.286816,130.264813,130.28874,134.071957,134.7626705,215.871855,135.868951
7,dis_TRINITY_DN7885_c0_g4,131.03053749999998,130.478934,131.220033,191.2848205,351.53056000000004,417.4243955,184.808773,175.491489
1,dis_TRINITY_DN7888_c0_g2,202.986142,144.759967,154.317021,180.588158,184.841196,153.09805799999998,235.419235,169.81624
7,dis_TRINITY_DN7893_c0_g1,437.399851,137.189156,132.428797,130.61205999999999,130.893786,131.633371,130,131.57305300000002
8,dis_TRINITY_DN7893_c0_g5,422.51910799999996,591.531512,388.065197,372.6143235,349.433106,324.8306455,281.877589,349.9627905
8,dis_TRINITY_DN79_c0_g1,167.5841615,276.448151,297.840919,350.3349695,238.248415,231.2643405,229.07751,214.268705
1,dis_TRINITY_DN7901_c0_g3,297.8554785,147.571338,138.552732,151.42382,142.381396,138.0689115,142.972403,134.9059645
8,dis_TRINITY_DN7901_c0_g5,314.5440355,179.558304,171.229129,212.479712,273.479099,253.08234550000003,194.235261,294.198799
1,dis_TRINITY_DN7909_c0_g5,230.52694400000001,208.266384,273.11580200000003,193.018216,214.256111,200.2246345,185.364728,199.90389549999998
