PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
1,Ec-27_005140.1,3333,10345,11065,10829,9538,9338,7876,10839,3707.5
1,Ec-27_005150.1,3333,10509,9669,10092,7119,9550,10757,10694,3707.5
1,Ec-27_005170.1,3333,6084,7852,6813,5039,5601,6273,5583,3707.5
2,Ec-27_005200.1,3333,6858,2438,4177,8129,4519,6897,4366,7954
2,Ec-27_005220.1,7038,1646,2426,3327,10909,2587,1795,2067,9498
1,Ec-27_005240.1,3333,3532,3421,2441,1147,2336,4107,2768,3707.5
6,Ec-27_005260.1,10290,10117,8364,9654,10266,9459,10782,9667,9970
3,Ec-27_005270.1,3333,7446,7345,7409,5829,7388,8562,6449,3707.5
1,Ec-27_005280.1,3333,9546,9125,8114,5898,5660,8087,9472,3707.5
1,Ec-27_005300.1,7006,2877,2398,3307,1360,3792,2804,1915,3707.5
1,Ec-27_005310.1,6950,7242,6117,7640,9588,8278,9143,6556,9591
1,Ec-27_005330.1,3333,3828,2421,2190,2835,4070,4639,4257,3707.5
1,Ec-27_005340.1,3333,858,5503,4344,451,3753,1305,1702,3707.5
1,Ec-27_005350.1,9824,10862,10646,10466,8890,10615,10548,11020,9784
6,Ec-27_005360.1,8344,10170,10441,10413,6610,9716,9985,9405,3707.5
1,Ec-27_005410.1,7062,754,3520,1324,11262,925,344.5,1212,7958
1,Ec-27_005420.1,3333,1106,9540,830,6987,306.5,344.5,9283,3707.5
2,Ec-27_005430.1,3333,6749,7795,9734,9080,7987,6394,7121,7869
1,Ec-27_005440.1,11090,962,2647,1052,10742,948,898,9082,3707.5
2,Ec-27_005460.1,3333,7277,2775.5,2855,5780,4426,8863,2132,3707.5
1,Ec-27_005470.1,3333,3645,3599,4068,1869,2819,2257,1374,9249
1,Ec-27_005480.1,3333,6711,5559,5926,6278,6532,6122,5542,3707.5
1,Ec-27_005500.1,7787,9712,9185,9840,9101,10658,10226,9393,3707.5
1,Ec-27_005510.1,3333,7907,6032,5184,9916,9216,3916,6171,3707.5
8,Ec-27_005520.1,8405,873,4483,945,10494,1036,1185,3184,10780
4,Ec-27_005530.1,3333,3227,4487,3684,2412,3131,3698,3878,3707.5
9,Ec-27_005540.1,3333,214.5,1564,826,10868,1242,344.5,1134,3707.5
1,Ec-27_005560.1,8239,9415,10262,10405,10540,10424,10200,9298,8912
8,Ec-27_005570.1,3333,636,3134,640,9178,884,858,3178,3707.5
1,Ec-27_005580.1,3333,4667,6136,7722,11087,7585,5883,5830,9317
2,Ec-27_005590.1,6814,764,567,3145,7548,9343,1232,602,3707.5
1,Ec-27_005600.1,8398,10079,9505,8656,6381,8454,9369,9357,3707.5
2,Ec-27_005610.1,3333,2366,3022,3456,7426,4174,2669,3103,8262
2,Ec-27_005620.1,9259,7944,8422,8038,6705,6540,8129,7556,3707.5
1,Ec-27_005630.1,3333,860,2910,617,2752,617,723,5989,7485
7,Ec-27_005650.1,3333,1579,185,1992,2221,6162,8719,6178,3707.5
11,Ec-27_005660.2,8043,10677,11231,10917,8016,10988,10476,11006,7923
1,Ec-27_005670.1,3333,9375,9411,9793,8447,8483,10422,10241,3707.5
1,Ec-27_005680.1,8301,11435,11359,11458,9890,11324,11288,11452,3707.5
10,Ec-27_005700.1,11284,6427,5954,4913,9026,8187,6088,3430,3707.5
1,Ec-27_005710.1,3333,7374,8653,8435,4272,8106,8551,7905,3707.5
1,Ec-27_005730.1,3333,2846,6971,1290,5332,1086,1721,8792,3707.5
1,Ec-27_005770.1,3333,9102,8484,7606,5046,6151,8525,7851,3707.5
7,Ec-27_005780.1,3333,6631,6141,7289,3319,7560,4017,6875,8952
1,Ec-27_005790.1,8479,11004,10559,9940,7899,10118,10555,10640,3707.5
11,Ec-27_005800.1,3333,214.5,185,198.5,451,306.5,344.5,162.5,9251
8,Ec-27_005810.1,3333,2230,7281,6884,9982,7726,7169,3001,3707.5
2,Ec-27_005820.1,3333,8324,8057,6898,7503,8114,9085,7392,3707.5
1,Ec-27_005830.1,8592,6028,7439,5825,11228,5694,4984,4802,11160
7,Ec-27_005840.1,7168,5466,7922,6288,10932,7815,3664,3723,11050
7,Ec-27_005850.1,7582,657,2233,595,8238,805,781,3523,7673
2,Ec-27_005860.1,3333,9673,9976,8546,6913,8338,8500,9208,3707.5
1,Ec-27_005870.1,8682,6941,9804,8293,11536,7393,7782,5613,11342
1,Ec-27_005880.1,6884,5210,3869,5355,9768,6446,4055,4370,9346
7,Ec-27_005900.1,3333,9619,8578,5664,4488,306.5,1101,1869,3707.5
1,Ec-27_005920.1,8431,11265,11368,10933,9133,7586,1834,11059,3707.5
1,Ec-27_005930.1,3333,617,554,428,7836,1007,1010,903,9473
2,Ec-27_005950.1,3333,214.5,185,198.5,451,1337,344.5,162.5,3707.5
1,Ec-27_005980.1,3333,6779,3516,2122,451,306.5,6879,4576,3707.5
1,Ec-27_005990.1,3333,1890,3671,4579,7581,3319,2637,1939,3707.5
11,Ec-27_006000.2,7370,7216,7031,7058,8132,8073,7314,7582,9418
4,Ec-27_006020.1,3333,6316,8306,7387,10067,7480,6006,5293,3707.5
1,Ec-27_006030.1,3333,6468,8277,6973,9947,6887,7127,5946,3707.5
1,Ec-27_006040.1,3333,5649,6713,6066,4574,7550,4782,4090,3707.5
3,Ec-27_006050.1,3333,4679,3208,1737,2084,2621,6752,2008,3707.5
1,Ec-27_006070.1,3333,4147,4755,5544,2555,4118,4429,4539,3707.5
1,Ec-27_006080.1,3333,5596,5821,3222,451,3703,7056,5907,3707.5
2,Ec-27_006090.1,3333,8079,9113,7923,4667,9129,8219,9071,3707.5
7,Ec-27_006110.1,3333,4834,4867,4696,9883,7340,6775,2988,3707.5
1,Ec-27_006120.1,3333,10040,11336,11207,11470,10602,10919,8751,9524
1,Ec-27_006140.1,3333,4236,5582,4300,2230,3997,3688,3068,3707.5
1,Ec-27_006150.1,3333,3246,6018,1940,451,1199,4588,5191,3707.5
2,Ec-27_006160.1,3333,8468,7996,8044,3545,8990,8646,6855,3707.5
7,Ec-27_006170.1,3333,7523,7424,6854,3317,7432,8075,5709,3707.5
7,Ec-27_006190.1,8394,10502,10496,10064,5596,8909,9641,7560,3707.5
5,Ec-27_006200.2,9503,7147,7913,8713,9124,7829,7310,7581,9626
1,Ec-27_006210.1,3333,2914,2779,3997,7243,2414,3122,2497,8934
1,Ec-27_006230.1,3333,1137,4466,788,1042,306.5,344.5,6962,3707.5
11,Ec-27_006240.2,8752,5048,3701,3887,2399,3631,6180,4666,3707.5
8,Ec-27_006250.1,3333,2997,2376,7298,3217,4239,8153,393,3707.5
11,Ec-27_006260.1,3333,5059,4238.5,7122,451,6161,8890,162.5,3707.5
1,Ec-27_006280.1,3333,7248,4481,5886,3862,5171,8235,5449,3707.5
2,Ec-27_006290.1,3333,3865,4549,7109,2385,5947,5612,4439,7913
2,Ec-27_006300.1,3333,10514,10745,9877,10423,9987,9363,9168,3707.5
1,Ec-27_006310.2,10135,2459,2973,3189,3585,2333,2644,4565,8882
6,Ec-27_006320.1,7680,8221,6838,7527,4609,8591,8232,7503,9008
1,Ec-27_006330.1,6857,4491,5265,6551,8665,7285,7266,6771,9452
2,Ec-27_006340.1,3333,2971,2102,3396,3474,1669,2841,2910,3707.5
2,Ec-27_006350.1,3333,3660,5441,4106,7679,3757,4179,3802,3707.5
2,Ec-27_006360.1,3333,6311,6003,5856,2112,5909,6269,4151,3707.5
2,Ec-27_006370.1,6990,4516,4066,5308,3591,5162,4537,4321,7941
1,Ec-27_006380.1,3333,536,1036,704,10684,810,344.5,652,10074
2,Ec-27_006390.1,3333,514,3699,3232,9577,1092,344.5,366,8456
1,Ec-27_006410.1,7754,10053,9156,8519,6526,7139,10160,9268,3707.5
1,Ec-27_006420.1,10888,11082,11176,11123,10686,11015,11086,10902,10161
8,Ec-27_006430.1,3333,721,665,1020,1361,6653,4151,2541,3707.5
7,Ec-27_006440.1,3333,1150,3031,891,3611,1324,1231,6227,3707.5
1,Ec-27_006450.1,3333,8820,10178,9968,7531,9858,8563,9490,3707.5
3,Ec-27_006460.1,3333,8958,7263,4212,5558,6650,5483,6600,3707.5
7,Ec-27_006470.1,3333,3061,4974,2828,9662,1453,1750,1394,3707.5
7,Ec-27_006480.1,3333,6158,5478,5358,8079,4308,3130,4562,3707.5
1,Ec-27_006490.1,3333,2547,4597,5131,8312,3890,2431,2876,3707.5
11,Ec-27_006500.1,3333,8142,11300,11327,10149,11064,11207,11070,3707.5
1,Ec-27_006520.1,9619,11291,8938,9213,9087,10174,10835,11259,10653
1,Ec-27_006530.1,3333,6555,4296,4445,451,3875,6635,6184,3707.5
11,Ec-27_006550.1,11490,11388,11394,11504,9887,11499,11379,11499,11501
1,Ec-27_006560.1,9928,9753,10356,10175,6788,10196,9451,10164,3707.5
4,Ec-27_006580.1,3333,6665,8627,7385,3001,8039,5981,6429,3707.5
1,Ec-27_006590.1,3333,6018,6919,3843,2968,4507,5023,7935,3707.5
11,Ec-27_006600.1,3333,214.5,185,198.5,451,2348.5,344.5,1288.5,3707.5
1,Ec-27_006620.1,3333,9520,7764,5234,6046,7690,8585,9765,3707.5
7,Ec-27_006630.1,8858,7613,8841,9283,9378,10115,7088,8649,3707.5
7,Ec-27_006640.1,10583,2825,1754,2829,8461,3206,2935,3339,9612
11,Ec-27_006650.1,3333,3264,3632,4947,11003,9777,8924,9412,3707.5
1,Ec-27_006660.1,3333,1315,1070,1654,9840,6741,6359,7127,3707.5
