GeneID,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
dis_TRINITY_DN12756_c0_g2,135.958699,132.33241,139.898631,88.228403,96.040901,83.452817,63.764172,89.283619,78.220129,145.930228,161.11241,108.608088,132.779824,136.290242,168.885367,155.285739,158.603324,154.56181,102.17698,86.468555,107.605832,99.904876,205.92737,189.719507,151.27742,179.602789,159.869585,151.476417,159.524641,128.115868,113.868764,71.277895,146.726347,96.437554
dis_TRINITY_DN12758_c0_g1,163.176306,156.207464,188.894883,57.191011,58.62485,46.48143,201.757192,191.837335,189.951528,352.312195,318.465684,269.526768,160.841896,141.645817,100.869858,112.005467,99.028928,121.881892,95.377215,86.700228,130.267161,88.515435,233.56795,190.383231,154.198335,98.866073,90.953319,115.872506,138.16355,114.105409,143.937317,86.516585,109.312717,86.621286
dis_TRINITY_DN1276_c0_g1,6.65821,8.127269,8.022768,1.126053,0.630854,0.892166,9.800392,7.765828,14.423849,10.933781,10.170362,12.946541,13.756986,11.306953,12.879831,13.320326,9.915278,10.370808,6.059717,7.572339,13.058078,15.361389,24.761595,26.112024,17.269481,12.528588,20.615921,20.928821,33.031754,26.885001,20.943636,11.319095,22.589873,18.497291
dis_TRINITY_DN1276_c0_g2,49.833371,47.252972,42.687332,6.4732,7.956965,0,155.926152,160.49404,225.724011,83.329177,120.508147,106.552217,103.747137,98.96888,108.723108,108.877362,76.189616,81.95564,31.243509,45.73434,115.288979,137.844275,155.75881,203.063533,152.315912,133.877008,210.909767,234.020651,237.657984,224.948202,171.923006,119.860045,214.228229,150.384433
dis_TRINITY_DN12760_c0_g1,2.069155,1.811951,1.734013,1.464843,0.981619,0.350972,15.125634,16.773175,17.431981,23.826477,24.415586,24.040791,25.558319,18.840176,15.224224,14.376936,13.67791,10.581009,12.787772,13.922251,14.457955,12.646711,8.150963,8.308342,7.943507,7.228905,7.375785,8.710754,5.688107,4.837701,4.042456,5.271225,12.663971,6.716337
dis_TRINITY_DN12763_c0_g3,1.192802,0.929912,1.150643,1.182184,1.539111,0.855731,0.104448,0.177919,0.43892,1.167758,1.12009,2.833415,5.440118,8.055295,4.963491,4.025072,3.216431,1.56013,1.35685,1.925045,4.831112,4.421789,0.182727,0.034516,0.190233,3.272205,3.300486,5.589554,0.195674,0.184427,0.14651,1.27551,4.663401,6.146131
dis_TRINITY_DN12766_c0_g8,0.366108,0.641217,0.398346,0,0,0.19638,0.238201,0.327649,0.394087,0.395896,0.722221,0.232444,6.974639,5.085323,3.700132,4.724347,7.633356,4.745438,1.691967,4.941677,4.207016,5.956628,0.066879,0.063594,0,4.165275,4.910973,10.453063,0.784677,1.278785,0,11.484521,8.259994,18.041175
dis_TRINITY_DN12769_c0_g2,9.156277,17.138827,16.784213,5.393512,3.146796,2.350617,7.780089,9.976958,14.144482,9.853206,12.668558,15.555676,15.553594,14.105855,12.420575,12.959774,8.662761,7.772776,11.072057,4.868804,12.110231,11.432784,11.749767,9.872687,12.323193,7.256757,8.842773,7.137065,10.798649,10.435471,9.112679,3.693824,5.983289,5.766651
dis_TRINITY_DN12770_c0_g1,24.608956,18.716337,18.924432,288.974776,329.642733,321.961776,18.048835,16.549791,19.497612,32.965162,24.407575,31.859259,107.248794,148.647761,280.76978,277.98816,254.515575,336.069423,279.057224,242.448094,280.000784,290.5259,26.084637,37.146194,30.496862,136.832347,142.002782,178.137194,31.507234,34.858347,22.590115,177.984117,189.179939,194.061856
dis_TRINITY_DN12770_c0_g2,1.125063,1.465414,1.3214920000000001,6.209574,6.926074,8.708087,0.115631,0.1836,0.389595,0.129441,0.233371,0.228474,0.028907,0.046241,0,0,0,0,0,0.048816,0,0.049651,0,0.091582,0,14.649543,14.721618,17.442575,0.069328,0.098001,0.292019,0,0,0.030246
dis_TRINITY_DN12773_c0_g1,62.488533,71.613518,69.93945,18.882602,14.86998,15.035139,52.851756,50.529113,60.763402,22.28117,26.718213,20.141724,31.618253,32.524051,27.315949,25.91596,19.197137,20.516662,21.546985,7.462115,12.645322,13.773135,20.288986,13.190976,9.256937,51.897564,52.110641,36.554059,8.859882,8.496049,9.185106,6.408609,6.636442,7.509462
dis_TRINITY_DN12773_c0_g2,15.311887,17.080488,20.252292,5.028528,2.680833,3.413741,13.438272,14.004731,20.021894,11.704946,12.174225,13.012533,23.387912,17.780451,15.03132,16.726429,14.550384,13.963551,13.333201,12.255282,10.133927,12.723216,21.508156,18.202108,13.43224,19.148223,19.418028,19.804986,15.447818,12.736431,15.906516,10.915317,14.318148,11.863206
dis_TRINITY_DN12775_c0_g1,134.537798,156.572396,144.940396,47.259746,34.945333,36.017562,50.441031,56.930822,68.446189,36.806647,44.927276,44.54654,47.438505,45.966187,88.851086,88.114932,61.936798,73.858543,81.624518,40.448752,45.815513,46.266588,35.170742,42.018097,36.747535,78.422421,63.518004,46.17496,42.08543,38.49102,38.290885,26.188006,22.029812,31.869044
dis_TRINITY_DN12777_c0_g1,120.649147,135.500125,137.630464,139.827239,125.960361,125.274556,220.302394,207.688938,220.956585,456.596909,360.671408,410.209522,292.524061,323.766042,511.513023,508.491322,436.289832,459.623696,555.912775,315.544949,281.900743,289.287386,83.617666,71.566343,84.182675,159.307352,148.971792,177.829978,66.64648,68.21656,70.946096,220.218567,196.186867,215.513476
dis_TRINITY_DN12778_c0_g2,13.140689,21.176929,17.863219,36.850121,32.423184,30.907527,11.121536,12.60123,17.026472,10.958901,13.717803,14.084872,23.568037,16.993502,22.277087,21.005819,15.398326,13.412311,12.543302,8.463817,15.082465,17.37704,15.802551,15.035473,13.874969,18.758746,22.894094,17.967953,15.852749,13.654846,14.517047,9.463299,10.052937,12.356116
dis_TRINITY_DN12780_c0_g1,11.040646,12.613852,11.816144,7.773736,6.327549,4.688659,13.165677,13.964161,12.887373,15.865239,11.804467,14.664442,14.915478,16.299432,18.416019,15.808477,14.880848,12.654835,14.093694,31.393133,22.434247,24.360436,15.374248,15.560874,7.696931,21.908901,20.167089,20.597635,22.053756,19.666328,29.539636,38.418706,22.490701,36.774027
dis_TRINITY_DN12781_c0_g1,284.59931,270.762033,273.101742,60.184478,36.218895,31.524831,79.349011,84.063058,93.203629,39.861335,54.08356,51.689734,36.909339,30.050654,26.517154,26.017393,20.498619,23.180867,17.959984,22.072933,33.292332,26.835508,45.70357,34.258278,22.810494,151.22289,125.225274,94.365753,54.935333,41.664007,47.715891,17.246359000000002,26.121054,16.291181
dis_TRINITY_DN12782_c0_g1,47.250592,59.602703,59.883667,10.942295,9.260599,6.098051,12.742994,11.891803,18.232883,4.735702,5.758451,6.395409,8.524874,7.122415,10.524732,9.261243,7.798891,6.922491,6.616584,5.981114,11.272461,10.265534,16.084243,19.805963,22.589993,25.198818,30.37289,19.849471,14.154863,16.41625,15.273133,12.776783,12.952636,28.385067
dis_TRINITY_DN12786_c0_g1,132.735523,96.317739,116.659729,56.639527,42.52079,46.14583,227.947968,250.850185,171.351025,280.956944,184.179094,104.557968,114.151744,96.978491,344.742263,339.526864,349.24628,373.481801,516.498144,102.049959,80.397924,98.282569,75.073,74.042677,89.211054,86.973017,66.114671,64.711006,57.410298,68.788361,65.189129,94.181521,46.040294,58.637994
dis_TRINITY_DN12787_c0_g1,46.339466,62.12101,61.372738,23.192484,14.101454,15.054926,78.8028,74.963113,90.923079,86.39453,85.56686,89.567429,39.488475,36.151936,38.681539,34.89403,28.96464,25.719373,25.257549,22.44515,26.943583,27.589953,34.981923,31.406021,31.161892,48.124994,36.976214,29.555529,15.831916,19.726552,21.904491,20.285458,19.648875,23.35876
dis_TRINITY_DN12788_c0_g1,230.973231,216.301569,229.233573,51.318113,33.796081,26.793994,322.923081,288.62789,287.495551,347.828964,313.093997,327.544445,488.232201,363.477664,337.579413,317.937631,282.206744,244.937221,277.410158,159.635694,177.361191,167.718936,179.682364,113.261927,87.269942,127.489667,101.19309,83.602246,58.072489,43.266765,52.107425,36.531014,89.441016,38.807049
dis_TRINITY_DN1279_c0_g1,9.303115,10.284337,9.667155,7.10433,4.627151,2.442548,15.231692,14.822853,18.888797,7.516612,9.434271,11.520288,18.651286,17.603854,11.365104,12.566614,8.275054,7.213465,6.394159,8.526647,13.597002,15.238961,19.782726,15.694975,9.375634,12.599884,11.375803,14.89051,13.891911,12.328965,10.045741,6.137248,10.334828,6.799787
dis_TRINITY_DN12792_c0_g2,1.719958,2.77112,2.924728,0.703898,0.808533,0.336572,9.262586,9.314182,14.236567,17.066663,14.656959,17.734503,11.873984,11.523076,10.087981,10.40317,9.085644,6.724936,8.143163,11.418835,9.580151,10.289792,13.536098,10.440994,7.843488,11.325815,11.568758,9.816941,12.096598,9.142704,11.731454,5.250736,7.411805,7.859349
