PS,GeneID,S1,S2,S3,S4,S4.5,S5
8,dis_TRINITY_DN2184_c0_g1,244.382488,212.591952,186.741364,176.005321,188.7772415,173.631453
1,dis_TRINITY_DN21861_c0_g1,289.71784,311.648561,319.322064,256.504434,203.4898855,295.886915
7,dis_TRINITY_DN21876_c0_g1,222.319361,287.418768,212.121334,298.76772700000004,239.40896100000003,238.090934
7,dis_TRINITY_DN219_c0_g1,130,130,130,134.502925,136.045744,373.09688
2,dis_TRINITY_DN2191_c0_g2,202.504365,217.37556,218.441348,216.518281,211.1500845,188.266903
8,dis_TRINITY_DN2199_c0_g1,130,130,131.609088,134.455985,131.7092315,141.357266
8,dis_TRINITY_DN22_c0_g1,168.647671,191.17924,187.9616785,185.496539,174.4661565,189.913001
1,dis_TRINITY_DN22026_c0_g1,558.146184,285.65375800000004,563.866927,649.011866,754.038269,333.836272
2,dis_TRINITY_DN2203_c0_g1,220.587509,276.811281,245.493226,316.795275,278.86798650000003,214.427948
5,dis_TRINITY_DN22068_c0_g1,305.978273,369.656639,347.7308635,266.64497,246.972697,277.03587500000003
8,dis_TRINITY_DN22091_c0_g2,199.050079,307.92180099999996,314.9195485,282.595406,300.5234865,261.784904
1,dis_TRINITY_DN2211_c2_g3,174.213536,189.995611,210.4399355,279.60348,283.3244395,197.958431
2,dis_TRINITY_DN22131_c0_g1,274.32000600000003,323.099246,289.619048,247.308353,211.573201,189.259622
8,dis_TRINITY_DN22190_c0_g1,305.360836,389.942945,351.30919,544.907678,525.388889,357.303696
8,dis_TRINITY_DN22207_c0_g3,215.737759,164.000079,167.0283225,233.644816,231.105786,165.319436
1,dis_TRINITY_DN22254_c0_g1,642.573432,756.591371,684.656011,880.696139,772.570001,448.137378
1,dis_TRINITY_DN22277_c0_g4,190.756989,210.230696,210.1603255,206.779302,218.3156015,244.653651
1,dis_TRINITY_DN22288_c0_g2,410.256536,418.549038,284.0105145,336.540502,308.861756,258.16645
1,dis_TRINITY_DN22291_c0_g1,403.950481,399.118344,408.573438,360.538517,324.8102775,288.995683
5,dis_TRINITY_DN22293_c0_g2,317.812775,234.763756,186.4299265,184.009816,197.1715165,186.573262
8,dis_TRINITY_DN223_c0_g2,130.25345,131.405594,130,136.261418,137.1797075,325.089042
7,dis_TRINITY_DN22307_c0_g1,177.715634,222.758852,257.5722105,255.555957,216.578365,250.381774
1,dis_TRINITY_DN22357_c0_g3,213.525532,247.575362,183.6930175,179.135404,165.525137,163.252482
7,dis_TRINITY_DN2236_c0_g1,213.000698,237.408274,161.92093699999998,168.767881,187.6219515,168.162533
1,dis_TRINITY_DN22419_c0_g3,212.690519,185.431246,227.849594,214.596092,222.0025825,175.059135
1,dis_TRINITY_DN22465_c0_g1,1750.2335,1707.140634,2522.921316,3226.02196,5227.859693,4104.385227000001
1,dis_TRINITY_DN22490_c0_g1,262.640578,207.794392,270.707797,242.050249,248.6369195,225.345937
8,dis_TRINITY_DN225_c0_g1,217.105881,194.056599,188.00744,170.369926,161.210643,174.45262300000002
1,dis_TRINITY_DN2255_c0_g2,1368.761744,1541.538365,1583.080031,1220.52888,1002.685048,2007.423016
1,dis_TRINITY_DN22588_c0_g2,156.704332,169.836608,174.644983,189.992873,198.4062565,181.667158
1,dis_TRINITY_DN2260_c0_g1,520.156853,781.529691,256.94659,213.065522,200.5129335,180.197575
7,dis_TRINITY_DN22667_c0_g1,183.709587,182.168376,221.8232395,233.958801,183.6666575,181.023726
7,dis_TRINITY_DN2267_c0_g1,142.718399,132.911496,131.10463249999998,130.887159,132.923316,141.808979
8,dis_TRINITY_DN2268_c0_g1,154.625973,133.115626,130.09857599999998,130,130.033606,130
8,dis_TRINITY_DN2270_c0_g1,186.127773,204.517223,184.1518765,203.860465,209.37026150000003,186.800458
8,dis_TRINITY_DN22713_c0_g1,164.47118,217.418004,194.121287,186.292848,188.050007,181.501573
8,dis_TRINITY_DN2273_c0_g2,201.965512,252.760358,184.2676695,190.693357,183.828786,166.884894
1,dis_TRINITY_DN2279_c0_g1,387.08144,429.856595,289.805796,235.493806,216.086322,225.316758
1,dis_TRINITY_DN22861_c0_g1,139.540045,131.730938,130.61516949999998,130,130,130
7,dis_TRINITY_DN22895_c0_g2,542.909011,330.273662,232.860836,277.238429,266.1042275,422.647201
7,dis_TRINITY_DN22904_c0_g3,185.384227,174.101208,204.226104,190.832966,186.560665,188.779378
8,dis_TRINITY_DN22904_c0_g6,197.660954,174.737266,166.2310165,164.152907,153.68143400000002,192.258672
8,dis_TRINITY_DN22957_c0_g2,164.132038,170.410065,166.21827100000002,182.638331,173.831716,164.358124
8,dis_TRINITY_DN22975_c0_g1,167.396413,180.423542,212.521671,217.290212,228.1262795,198.426505
1,dis_TRINITY_DN23_c0_g4,1504.622332,1603.826397,1187.775497,1064.179738,841.52162,929.967769
1,dis_TRINITY_DN230_c0_g1,279.86503300000004,192.48367,219.7460325,197.186455,189.9705975,167.442053
1,dis_TRINITY_DN2300_c0_g1,158.252832,148.108767,138.13176700000002,131.882841,130.45311049999998,130.218748
1,dis_TRINITY_DN23055_c0_g1,559.342476,843.154221,377.971157,294.387241,260.87657249999995,281.027622
7,dis_TRINITY_DN23106_c0_g2,377.42201,438.150091,336.06503150000003,311.447532,245.3031675,296.522848
1,dis_TRINITY_DN23129_c0_g1,221.72571,293.436114,169.469491,156.357744,143.873426,147.75590499999998
1,dis_TRINITY_DN2318_c0_g1,225.898257,384.95395,340.6045305,258.09668999999997,219.8998325,181.939541
1,dis_TRINITY_DN23204_c0_g1,201.571307,188.827436,172.463351,191.237295,215.40488,183.67789
8,dis_TRINITY_DN2323_c4_g1,155.399331,152.419244,167.04239,160.922982,169.231787,163.101522
2,dis_TRINITY_DN23248_c0_g1,161.905046,190.685617,166.7370805,190.675209,224.7272215,210.80712
1,dis_TRINITY_DN23271_c0_g1,282.833578,292.14257499999997,367.7370935,290.52414899999997,368.915557,311.838053
1,dis_TRINITY_DN23293_c0_g1,231.840796,222.287449,170.671571,163.492588,156.23944699999998,154.381913
1,dis_TRINITY_DN23293_c0_g5,200.638866,204.972846,220.2692315,209.079012,194.0690255,206.030809
7,dis_TRINITY_DN23298_c0_g3,217.442777,186.283472,181.6530615,202.85292,219.225366,213.536373
2,dis_TRINITY_DN23299_c0_g1,288.299153,233.199347,165.6809935,163.410538,162.7953395,172.501298
8,dis_TRINITY_DN233_c0_g1,131.448778,130.429251,130.1593525,130,130,130
6,dis_TRINITY_DN23309_c0_g1,200.474295,198.135338,230.6665275,217.619715,227.014704,200.587203
8,dis_TRINITY_DN23310_c0_g2,232.311804,292.56584399999997,194.1098305,207.943983,213.0208805,187.220192
2,dis_TRINITY_DN23315_c0_g1,248.17135,252.957465,176.024265,190.43397,216.933085,192.23313
8,dis_TRINITY_DN23317_c0_g1,415.88236,408.93756,322.3301285,318.404533,291.8239075,250.124982
8,dis_TRINITY_DN23326_c0_g1,208.544462,290.209661,213.536518,210.441023,186.692408,202.789593
8,dis_TRINITY_DN23328_c0_g3,130.043057,130.380145,136.043452,135.066673,131.667258,142.305133
