PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
8,dis_TRINITY_DN922_c0_g1,4.861362,4.960389,3.744501,2.830863,2.118104,3.695958,4.025943,0.61964,3.594071,3.333571,2.471324,1.405242
8,dis_TRINITY_DN9221_c0_g1,28.509062,32.475985,13.9788175,15.385883,15.670669,15.694261,11.487334,6.906005,11.635818,14.459624,9.319486,8.250083
7,dis_TRINITY_DN9223_c0_g1,8.931364,7.466846,6.632683,5.181644,3.686969,5.543832,10.703556,8.095525,5.05486,6.250775,3.323264,2.117304
1,dis_TRINITY_DN9225_c0_g1,35.070904,65.302119,37.878124,28.599702,18.7825435,19.029888,54.864767,12.22408,6.68561,24.632775,3.621737,9.853569
1,dis_TRINITY_DN9227_c0_g1,0.241764,0.662802,5.254227,8.894859,8.1762125,6.548097,0.297538,0,0.3502,2.807687,0.348875,4.098401
8,dis_TRINITY_DN9228_c0_g2,97.643917,86.663838,59.9990465,52.502226,29.1102695,41.136213,40.562169,4.607834,52.056746,39.51807,50.109106,29.871454
8,dis_TRINITY_DN923_c0_g1,7.090843,3.059919,5.2563344999999995,3.659684,1.7119179999999998,3.969485,3.899292,0.177682,3.625174,3.979928,3.990283,2.089825
8,dis_TRINITY_DN9232_c0_g1,16.231228,18.231574,15.238576,12.388072,6.130644,9.307574,8.303246,14.247101,10.374506,11.912363,8.807447,6.510349
8,dis_TRINITY_DN9234_c0_g1,0.085636,0.167513,0.0095525,0,0,0,0.010502,48.573624,0,4.234777,0,0
8,dis_TRINITY_DN9236_c0_g2,27.357073,42.086918,26.4455555,20.393555,19.16412,18.587162,6.092345,0.774098,34.627183,13.051362,12.351965,14.461935
8,dis_TRINITY_DN9239_c0_g2,2.084013,1.543868,1.740663,2.870527,2.0115925,2.0832,3.375619,180.937292,4.048915,11.062337,2.825305,1.517568
8,dis_TRINITY_DN924_c0_g1,4.32672,5.100356,11.143759,10.121783,5.419916499999999,9.32665,4.87115,1.033058,11.603796000000001,9.528821,17.079844,9.236884
8,dis_TRINITY_DN924_c0_g2,3.744653,4.417834,10.888807,7.876888,5.547767,9.433763,4.969367,0.813885,12.779818,8.676243,10.75243,4.842814
8,dis_TRINITY_DN9245_c0_g2,2.291297,1.164493,3.816279,10.081537,32.984384500000004,3.402018,0.532797,9.39869,7.296273,174.732132,22.13026,29.453535
2,dis_TRINITY_DN9245_c0_g3,11.211174,6.933175,15.4461195,13.298379,11.717831,13.001903,16.164681,4.693692,19.890719,15.645456,19.375043,12.443117
8,dis_TRINITY_DN9245_c0_g5,22.76143,43.179302,18.9201775,15.287445,21.99296,18.602687,19.677763,3.324159,64.373504,15.148547,36.741807,7.784272
1,dis_TRINITY_DN9247_c0_g1,29.099885,26.06848,22.4468105,19.006276,18.200434,16.510886,20.886409,2.098672,25.383297,23.416086,9.392632,10.26904
