GeneID,tau,tau_strata
ser_TRINITY_DN16964_c0_g1,0.06665833873345448,1
ser_TRINITY_DN1216_c0_g2,0.06668747942622086,1
ser_TRINITY_DN8410_c0_g1,0.06722781764507599,1
ser_TRINITY_DN3951_c0_g1,0.06730105812211742,1
ser_TRINITY_DN2112_c0_g1,0.0674922777991345,1
ser_TRINITY_DN146548_c0_g1,0.06761248356378155,1
ser_TRINITY_DN23664_c0_g3,0.06812189474156286,1
ser_TRINITY_DN2401_c0_g1,0.06828450860313715,1
ser_TRINITY_DN17210_c0_g1,0.0686632661075125,1
ser_TRINITY_DN2687_c0_g1,0.06880696862843291,1
ser_TRINITY_DN11889_c0_g1,0.06940025913742598,1
ser_TRINITY_DN5350_c0_g1,0.06999515681062995,1
ser_TRINITY_DN169_c1_g1,0.0702557998722522,1
ser_TRINITY_DN1650_c0_g1,0.07032740378787966,1
ser_TRINITY_DN4001_c0_g5,0.0703646265171354,1
ser_TRINITY_DN11208_c0_g2,0.07092079800677589,1
ser_TRINITY_DN13568_c0_g1,0.07118559765908569,1
ser_TRINITY_DN6945_c0_g1,0.07130693570340113,1
ser_TRINITY_DN5583_c0_g1,0.07136662018096884,1
ser_TRINITY_DN15440_c0_g1,0.07144128427728996,1
ser_TRINITY_DN11526_c0_g1,0.07147596780766646,1
ser_TRINITY_DN9828_c0_g1,0.07148009626035354,1
ser_TRINITY_DN16561_c0_g1,0.0716143607183686,1
ser_TRINITY_DN7581_c0_g1,0.07164523862085681,1
ser_TRINITY_DN92837_c0_g1,0.0717436849006744,1
ser_TRINITY_DN5878_c0_g1,0.07206045454077131,1
ser_TRINITY_DN13901_c0_g3,0.07228942389933271,1
ser_TRINITY_DN4929_c0_g1,0.07233780293765421,1
ser_TRINITY_DN1865_c0_g1,0.07236942276276431,1
ser_TRINITY_DN64716_c1_g1,0.07239769583320518,1
ser_TRINITY_DN15097_c0_g1,0.07273080013061489,1
ser_TRINITY_DN125001_c0_g1,0.07273286313708133,1
ser_TRINITY_DN8828_c0_g1,0.07280827947542012,1
ser_TRINITY_DN7186_c0_g1,0.07329035002789944,1
ser_TRINITY_DN17375_c0_g1,0.07335316594175659,1
ser_TRINITY_DN9801_c0_g1,0.07351347483195789,1
ser_TRINITY_DN3818_c0_g4,0.07381205832262552,1
ser_TRINITY_DN4373_c0_g3,0.07384804264161265,1
ser_TRINITY_DN13959_c0_g1,0.07403299657410972,1
ser_TRINITY_DN1419_c0_g1,0.0742370607602243,1
ser_TRINITY_DN3624_c0_g1,0.0746683845070649,1
ser_TRINITY_DN40255_c0_g1,0.07482736697281908,1
ser_TRINITY_DN26888_c0_g2,0.07493341709893991,1
ser_TRINITY_DN124257_c0_g1,0.07505992492077285,1
ser_TRINITY_DN5544_c0_g1,0.07507886018959312,1
ser_TRINITY_DN1621_c0_g1,0.07536628615375149,1
ser_TRINITY_DN1295_c0_g1,0.07546594526123665,1
